Place	Player	Country	Score	To par
1	Bill Rogers	United States	72-66-67=205	–5
T2	Mark James	England	72-70-70=210	E
T2	Bernhard Langer	West Germany	73-67-70=210	E
T4	Isao Aoki	Japan	71-73-69=213	+3
T4	Raymond Floyd	United States	74-70-69=213	+3
T6	Nick Faldo	England	77-68-69=214	+4
T6	Nick Job	England	70-69-75=214	+4
T6	Sam Torrance	Scotland	72-69-73=214	+4
T6	Lee Trevino	United States	77-67-70=214	+4
T10	Ben Crenshaw	United States	72-67-76=215	+5
T10	Tony Jacklin	England	71-71-73=215	+5
T10	Brian Jones	Australia	73-76-66=215	+5
T10	Simon Owen	New Zealand	71-74-70=215	+5
T10	Jerry Pate	United States	73-73-69=215	+5
T10	Manuel Piñero	Spain	73-74-68=215	+5
