Country	Career	Victories	Super G	Giant Slalom	Slalom	Combined	Parallel
Sweden	1973–1989	86	–	46	40	–	–
Austria	1996–2009	54	24	14	–	1	–
Italy	1986–1998	50	–	15	35	–	–
Luxembourg	1980–1996	46	9	7	16	11	–
Switzerland	1981–1990	40	10	7	2	11	–
Austria	1997–active	36	1	14	14	7	–
United States	1997–active	33	5	9	5	6	–
Austria	1989–2004	29	6	5	–	–	–
United States	1975–1984	27	–	7	9	11	–
Austria	1972–1985	26	–	–	–	1	–
Croatia	1998–active	26	1	–	15	9	1
Switzerland	1977–1992	24	2	–	–	3	–
Italy	1969–1980	24	NA	11	8	4	1
Switzerland	1989–2003	23	–	23	–	–	–
Norway	1989–2006	21	5	6	1	8	–
Switzerland	1993–2012	21	6	3	–	–	–
Norway	2001–active	21	10	4	–	1	–
