Position	Equipment	Points	Wins	Second	Third
1	Zabel - VMC	478	15	4	—
2	MTH -BSU	440	7	12	1
3	KTM - AYR	317	—	1	6
4	MTH-APZ	299	—	3	4
5	Zabel-VMC	274	—	—	5
6	MTH-BSU	262	—	—	4
7	MTH-BSU	223	—	—	—
8	MTH-BSU	198	—	—	—
9	Zabel-VMC	197	—	2	—
10	Zabel-AYR	184	—	—	2
11	Zabel-VMC	175	—	—	—
12	MTH-VMC	173	—	—	—
13	KTM-VMC	132	—	—	—
14	Zabel-BSU	126	—	—	—
15	Kawasaki-VMC	126	—	—	—
16	KTM-VMC	107	—	—	—
17	JAWA-VMC	102	—	—	—
18	KTM-NMP	100	—	—	—
19	Zabel-VMC	98	—	—	—
20	KTM-VMC	80	—	—	—
21	Zabel-VMC	79	—	—	—
22	MTH-VMC	58	—	—	—
23	KTM-Ayr	58	—	—	—
24	MTH-BSU	51	—	—	—
25	Zabel-VMC	51	—	—	—
26	Husaberg -VMC	49	—	—	—
27	Husaberg-BSU	49	—	—	—
28	Honda -EML	40	—	—	—
29	Yamaha -VMC	38	—	—	—
30	KTM-AYR	34	—	—	—
31	Zabel-VMC	33	—	—	—
32	Zabel-VMC	26	—	—	—
33	Zabel-VMC	25	—	—	—
34	MTH-VMC	18	—	—	—
35	Zabel-BSU	16	—	—	—
36	Zabel-VMC	13	—	—	—
37	Zabel-VMC	13	—	—	—
38	KTM-BSU	12	—	—	—
39	KTM-AYR	12	—	—	—
40	Zabel-VMC	12	—	—	—
41	MTH-AYR	12	—	—	—
42	Zabel-BSU	11	—	—	—
43	Zabel-VMC	10	—	—	—
44	Zabel-VMC	10	—	—	—
45	Zabel-AYR	9	—	—	—
46	KTM-VMC	8	—	—	—
47	Zabel-VMC	6	—	—	—
48	MTH-AYR	5	—	—	—
49	MEFO-VMC	3	—	—	—
50	KTM-VMC	3	—	—	—
51	Zabel-VMC	3	—	—	—
52	KTM-AYR	2	—	—	—
53	KTM-AYR	1	—	—	—
54	KTM-VMC	1	—	—	—
