Res.	Record	Opponent	Method	Event	Round	Location
NC	11-18 (1)	Bruce Nelson	No Contest	CFX/Crowbar MMA: Winter Brawl	1	Fargo, North Dakota , United States
Loss	11-18	Razak Al-Hassan	TKO (punches)	North American Fighting Championship: Unstoppable	1	Oconomowoc, Wisconsin , United States
Loss	11-17	Brian Heden	KO (punches)	SD Total Combat 6	2	Aberdeen, South Dakota , United States
Loss	11-16	Justin Lemke	TKO (punches)	GCF: Strength and Honor	1	West Allis, Wisconsin , United States
Loss	11-15	Houston Alexander	TKO (leg kicks and punches)	Adrenaline MMA 4	1	Council Bluffs, Iowa , United States
Loss	11-14	Joey Beltran	TKO (punches)	Bellator 5	1	Dayton, Ohio , United States
Loss	11-13	Mike Marrello	Decision (split)	Xtreme Fighting Organization 28	3	Lakemoor, Illinois , United States
Loss	11-12	Josh Barnes	Submission (guillotine choke)	Extreme Challenge: The War at the Shore	1	Atlantic City, New Jersey , United States
Loss	11-11	Abe Wagner	Decision (split)	VFC 25: Primetime	5	Council Bluffs, Iowa , United States
Loss	11-10	Tim Hague	TKO (punches)	KOTC: Unrefined	2	Edmonton, Alberta , Canada
Win	11-9	Brian Heden	Submission (rear naked choke)	Xtreme Fighting Organization 24	1	Lakemoor, Illinois , United States
Loss	10-9	Alexey Oleinik	Submission (ezekiel choke)	YAMMA Pit Fighting 1	1	Atlantic City, New Jersey , United States
Loss	10-8	Shane Carwin	KO (punch)	ROF 31: Undisputed	1	Broomfield, Colorado , United States
Win	10-7	Kyle Olsen	Submission (rear naked choke)	Extreme Challenge 85	1	Bismarck, North Dakota , United States
Loss	9-7	Patrick Castillo	Decision (unanimous)	CCCF: Showdown 2	3	Concho, Oklahoma , United States
Loss	9-6	Jon Murphy	KO	Extreme Challenge 75	1	Trenton, New Jersey , United States
Loss	9-5	Tony Sylvester	TKO (injury)	FightFest 10	1	Canton, Ohio , United States
Win	9-4	Brett Stevens	Submission (rear naked choke)	ECF: Winter War	1	Spirit Lake, Iowa , United States
Loss	8-4	Antoni Hardonk	KO (leg kick)	UFC 65	1	Sacramento, California , United States
Win	8-3	Pat Stano	Decision	Xtreme Gladiators 3	3	Richmond, Virginia , United States
Win	7-3	Aaron Brink	Submission (rear naked choke)	PF 2: Live MMA	1	Hollywood, California , United States
Win	6-3	Tony Nelson	Submission (kneebar)	ISCF: Rampage in the Cage 2	1	Lafayette, Louisiana , United States
Loss	5-3	Justin Eilers	KO	Combat in the Cage 2	2	Atlantic City, New Jersey , United States
Win	5-2	Glen Sandull	KO (punches)	SF 3: Beatdown	1	New Jersey , United States
Win	4-2	Jason Cadima	TKO (strikes)	WFL - Real: No Fooling Around	2	Revere, Massachusetts , United States
Win	3-2	David Woolby	Submission (forearm choke)	WFL: Mortal Conquest	2	Revere, Massachusetts , United States
Loss	2-2	Carmelo Marrero	Decision (unanimous)	Reality Fighting 9	2	Wildwood, New Jersey , United States
Loss	2-1	Eric Schambari	Decision	Inferno Promotions: Meltdown	3	Garland, Texas , United States
Win	2-0	Mike Dexter	Submission (rear naked choke)	WFL: Judgement Night	1	Taunton, Massachusetts , United States
Win	1-0	Chris Dippolito	Submission (guillotine choke)	Reality Fighting 8	1	Atlantic City, New Jersey , United States
