No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
73	1	"From the Grave"	Karen Gaviola	Ann Donahue & Elizabeth Devine	September19,2005	19.21
74	2	"Blood in the Water"	Duane Clark	Dean Widenmann & Sunil Nayar	September26,2005	17.38
75	3	"Prey"	Scott Lautanen	Corey Miller & Barry O'Brien	October3,2005	18.67
76	4	"48 Hours to Life"	Norberto Barba	John Haynes & Marc Dube	October10,2005	18.49
77	5	"Three-Way"	Jonathan Glassner	Marc Guggenheim & Ildy Modrovich	October17,2005	17.91
78	6	"Under Suspicion"	Sam Hill	Sunil Nayar & Barry O'Brien	October24,2005	19.94
79	7	"Felony Flight"	Scott Lautanen	Elizabeth Devine & Anthony E. Zuiker & Ann Donahue	November7,2005	18.39
80	8	"Nailed"	Karen Gaviola	Corey Miller & Barry O'Brien	November14,2005	19.36
81	9	"Urban Hellraisers"	Matt Earl Beesley	Dean Widenmann & Marc Guggenheim	November21,2005	19.36
82	10	"Shattered"	Scott Lautanen	Ildy Modrovich	November28,2005	19.77
83	11	"Payback"	Sam Hill	Marc Dube & Ildy Modrovich & Marc Guggenheim	December19,2005	20.33
84	12	"The Score"	Jonathan Glassner	Barry O'Brien	January9,2006	20.15
85	13	"Silencer"	Ernest R. Dickerson	Sunil Nayar	January23,2006	19.69
86	14	"Fade Out"	Scott Lautanen	Corey Miller	January30,2006	20.43
87	15	"Skeletons"	Karen Gaviola	John Haynes & Elizabeth Devine	February6,2006	18.68
88	16	"Deviant"	Scott Lautanen	Krystal Houghton	February27,2006	18.43
89	17	"Collision"	Sam Hill	Dean Widenmann	March6,2006	18.61
90	18	"Double Jeopardy"	Scott Lautanen	Brian Davidson	March13,2006	19.01
91	19	"Driven"	Eagle Egilsson	Ildy Modrovich	March20,2006	19.86
92	20	"Free Fall"	Scott Lautanen	Marc Dube	April10,2006	17.16
93	21	"Dead Air"	Sam Hill	John Haynes	April24,2006	18.74
94	22	"Open Water"	Scott Lautanen	Marc Dube & Ildy Modrovich	May1,2006	19.31
95	23	"Shock" (Part 1)	Karen Gaviola	Brian Davidson & Corey Miller	May8,2006	19.96
