Name	Latitude	Longitude	Diameter (km)	Year named
Akka Tholus	75.1 N	233.0 E	19.4	2009
Alcyone Tholus	2.1S	256.4E	70.0	2003
Ale Tholus	68.2N	247.0E	87.0	1985
Amra Tholus	53.0N	98.0E	50.0	1997
Angerona Tholus	29.8S	287.2E	200.0	1997
Angrboda Tholus	73.8S	116.0E	80.0	1997
Apakura Tholus	40.3N	208.8E	10.0	2006
Ashtart Tholus	48.7N	247.0E	138.0	1985
Azimua Tholi	34.05S	249.35E	40.0	2006
Bast Tholus	57.8N	130.3E	83.0	1985
Brigit Tholus	49.0N	246.0E	0.0	1985
Cotis Tholus	44.3N	233.0E	62.0	1997
Dröl-ma Tholus	24.2N	6.3E	40.0	2000
Eirene Tholus	75.5 N	230.0 E	58.0	2009
Evaki Tholus	37.6N	342.2E	200.0	1997
Ezili Tholus	23.7N	91.3E	150.0	2006-09-25
Furki Tholus	35.9N	236.4E	79.0	1997
Gerd Tholi	54.5S	291.5E	50.0	1997
Grechukha Tholi	8.6S	255.8E	200.0	2000
Iaso Tholus	5.2N	255.3E	30.0	2003
Justitia Tholus	28.7S	296.5E	60.0	1997
Khotal-Ekva Tholi	9.1S	177.8E	50.0	1997
Kwannon Tholus	26.3S	296.8E	135.0	1997
Lama Tholus	7.8N	266.0E	110.0	2003
Mahuea Tholus	37.5S	164.7E	110.0	1994
Meiboia Tholus	44.7S	281.3E	85.0	1997
Mentha Tholus	43.0N	237.3E	79.0	1997
Monoshi Tholus	37.7S	252.0E	15.0	2006
Muru Tholus	9.0S	305.5E	40.0	1997
Narina Tholi	25.8S	80.0E	55.0	2000
Ndara Tholus	57.5S	16.0E	70.0	1997
Neegyauks Tholus	68.6S	200.0E	30.0	2000
Nertus Tholus	61.2N	247.9E	66.0	1985
Nipa Tholus	8.4N	255.7E	140.0	2003
Norterma Tholus	77.0S	188.0E	15.0	2000
Otafuku Tholi	28.7N	46.3E	80.0	1997
Otohime Tholus	32.0S	268.2E	20.0	2006
Padma Tholi	34.7S	68.3E	100.0	2000
Pajan Yan Tholus	8.3N	252.2E	80.0	2003
Paoro Tholi	10.5N	268.0E	225.0	2003
Perynya Tholus	0.7S	353.2E	110.0	2000
Podaga Tholus	56.3S	2.0E	40.0	1997
Rohina Tholus	40.6S	295.4E	30.0	1997
Rosna Tholi	25.5S	73.3E	130.0	2000
Semele Tholi	64.3N	202.9E	194.0	1985
Shamiram Tholus	6.9S	335.2E	10.0	2000
Sumerla Tholi	13.8S	252.2E	90.0	2000
Toci Tholus	29.5N	355.1E	300.0	1997
Turi Tholus	66.9S	222.3E	15.0	2000
Tursa Tholus	35.4S	205.2E	75.0	1997
Upunusa Tholus	66.2N	252.4E	223.0	1985
Vilakh Tholus	6.5S	176.5E	15.0	1997
Vupar Tholus	13.5S	306.0E	100.0	1997
Wohpe Tholus	41.4N	288.1E	40.0	2006
Wurunsemu Tholus	40.6N	209.9E	83.0	1985
Yansa Tholus	76.1 N	232.2 E	20.0	2009
Yurt-Ava Tholus	13.8S	341.5E	15.0	2000
Zorya Tholus	9.4S	335.3E	22.0	1994
