Round	Overall	Player	Position	School/Club Team
1	7	Mike Pruitt	Running Back	Purdue
3	65	Dave Logan	Wide Receiver	Colorado
4	97	Gene Swick	Quarterback	Toledo
4	99	Mike St. Clair	Defensive End	Grambling
5	130	Henry Sheppard	Guard	SMU
7	189	Steve Cassidy	Defensive Tackle	LSU
9	242	James Reed	Running Back	Mississippi
9	261	Craig Nagel	Quarterback	Purdue
10	271	Doug Kleber	Offensive Tackle	Illinois
11	297	Doug Celek	Defensive End	Kent State
13	354	Brian Murray	Offensive Tackle	Arizona
14	381	Joe Smalzer	Tight End	Illinois
15	408	Luther Philyaw	Defensive Back	Loyola(CA)
16	438	Chris Lorenzen	Defensive Tackle	Arizona State
17	464	Tom Fleming	Wide Receiver	Dartmouth
