Average population (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)
1,354	43,500	11,500	32,000	32.1	8.5	23.6
1,383	49,900	12,400	37,500	36.1	9.0	27.1
1,420	54,100	12,900	41,200	38.1	9.1	29.0
1,463	51,400	14,000	37,400	35.1	9.6	25.6
1,511	58,300	12,400	45,900	38.6	8.2	30.4
1,564	59,400	13,800	45,600	38.0	8.8	29.2
1,619	62,300	12,300	50,000	38.5	7.6	30.9
1,678	67,100	14,100	53,000	40.0	8.4	31.6
1,739	71,500	14,100	57,400	41.1	8.1	33.0
1,802	72,400	14,100	58,300	40.2	7.8	32.4
1,867	74,825	12,675	62,150	40.1	6.8	33.3
1,942	72,377	12,496	59,881	37.3	6.4	30.8
2,005	69,505	13,297	56,208	34.7	6.6	28.0
2,064	67,382	12,046	55,336	32.6	5.8	26.8
2,133	64,454	12,415	52,039	30.2	5.8	24.4
2,205	62,969	12,582	50,387	28.6	5.7	22.9
2,273	61,594	12,445	49,149	27.1	5.5	21.6
2,337	57,031	12,622	44,409	24.4	5.4	19.0
2,401	57,503	12,231	45,272	23.9	5.1	18.9
2,462	56,203	12,782	43,421	22.8	5.2	17.6
2,518	55,694	12,844	42,850	22.1	5.1	17.0
2,580	58,188	12,518	45,670	22.6	4.9	17.7
2,644	59,313	13,730	45,583	22.4	5.2	17.2
2,708	59,593	14,102	45,491	22.0	5.2	16.8
2,770	60,419	14,276	46,143	21.8	5.2	16.7
2,826	62,866	15,498	47,368	22.2	5.5	16.8
2,883	65,065	15,688	49,377	22.6	5.4	17.1
2,943	65,830	15,813	50,017	22.4	5.4	17.0
3,001	66,698	16,465	50,233	22.2	5.5	16.7
3,051	69,786	17,125	52,661	22.9	5.6	17.3
3,096	70,324	17,124	53,200	22.7	5.5	17.2
3,144	73,682	16,659	57,023	23.4	5.3	18.1
3,194	74,225	17,469	56,756	23.2	5.5	17.8
3,243	76,436	18,369	58,067	23.6	5.7	17.9
3,292	79,767	19,043	60,724	24.2	5.8	18.4
3,339	80,306	19,581	60,725	24.1	5.9	18.2
3,387	81,192	19,410	61,782	24.0	5.7	18.2
3,435	78,492	19,727	58,765	22.9	5.7	17.1
3,453	74,707	35,567 2	39,140	21.6	10.3	11.3
3,482	75,250	20,853	54,397	21.6	6.0	15.6
3,545	79,882	21,993	57,889	22.5	6.2	16.3
3,604	77,825	23,425	54,400	21.6	6.5	15.1
3,549	70,581	25,824	44,757	19.9	7.3	12.6
3,410	59,041	27,500	31,541	17.3	8.1	9.2
3,309	51,143	24,648	26,495	15.5	7.4	8.0
3,255	48,960	24,842	24,118	15.0	7.6	7.4
3,247	48,134	24,936	23,198	14.8	7.7	7.1
3,242	43,929	23,985	19,944	13.5	7.4	6.2
3,235	39,366	23,210	16,156	12.2	7.2	5.0
3,230	36,502	24,087	12,415	11.3	7.5	3.8
3,221	34,276	24,025	10,251	10.6	7.5	3.2
3,214	32,065	24,003	8,062	9.9	7.4	2.5
3,212	32,229	25,554	6,675	10.0	8.0	2.1
3,211	35,793	26,014	9,779	11.1	8.1	3.0
3,214	37,520	25,679	11,841	11.7	8.0	3.7
3,218	37,499	26,379	11,120	11.7	8.2	3.5
3,221	37,639	27,202	10,437	11.7	8.4	3.2
3,226	40,105	26,830	13,275	12.4	8.3	4.1
3,234	41,185	27,412	13,773	12.7	8.5	4.3
3,244	44,466	27,528	16,938	13.7	8.5	5.2
3,256	44,825	27,921	16,904	13.8	8.6	5.1
3,268	43,447	28,303	15,417	13.3	8.6	4.7
3,024	42,333	27,514	14,819	14.0	9.1	4.9
