Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Valladolid	30	40	19	2	9	70	38	+32
2	CD Sabadell CF	30	39	16	7	7	55	35	+20
3	SD Indautxu	30	35	14	7	9	46	35	+11
4	CD Condal	30	32	14	4	12	51	41	+10
5	CD Basconia	30	32	12	8	10	37	43	-6
6	Baracaldo AH	30	31	12	7	11	38	36	+2
7	Deportivo La Coruña	30	30	13	4	13	54	49	+5
8	Club Sestao	30	30	11	8	11	41	36	+5
9	Real Santander	30	30	13	4	13	39	35	+4
10	Club Ferrol	30	27	11	5	14	43	47	-4
11	Real Avilés CF	30	27	11	5	14	40	43	-3
12	CD Tarrasa	30	27	12	3	15	40	56	-16
13	Deportivo Alavés	30	27	10	7	13	34	43	-9
14	Rayo Vallecano	30	26	11	4	15	39	46	-7
15	Gerona CF	30	25	11	3	16	43	64	-21
16	Real Unión Club	30	22	8	6	16	34	57	-23
