State or territory	Hillary Clinton	Barack Obama	Uncommitted	Unassigned	Total
Alabama	3	2	3	0	8
Alaska	1	4	0	0	5
American Samoa	4	2	0	0	6
Arizona	4	7	0	0	11
Arkansas	3	7	1	1	12
California	24	40	7	0	71
Colorado	3	12	0	0	15
Connecticut	2	10	0	0	12
Delaware	2	6	0	0	8
Democrats Abroad *	1.5	2.5	0	0	4
District of Columbia	8	14	2	0	24
Florida *	2	7	4	0	13
Georgia	3	11	1	0	15
Guam	2	3	0	0	5
Hawaii	2	7	0	0	9
Idaho	0	4	1	0	5
Illinois	0	30	0	1	31
Indiana	5	8	0	0	13
Iowa	3	8	1	0	12
Kansas	1	8	0	0	9
Kentucky	3	4	2	0	9
Louisiana	2	6	3	0	11
Maine	0	8	0	0	8
Maryland	8	19	2	0	29
Massachusetts	10	15	3	0	28
Michigan *	0	13	1.5	0	14.5
Minnesota	1	14	1	0	16
Mississippi	0	5	3	0	8
Missouri	5	10	1	0	16
Montana	0	9	0	0	9
Nebraska	0	6	1	0	7
Nevada	1	7	1	0	9
New Hampshire	3	5	0	0	8
New Jersey	8	11	1	0	20
New Mexico	6	6	0	0	12
New York	20	28	1	0	49
North Carolina	3	15	1	0	19
North Dakota	0	8	0	0	8
Ohio	4	14	2	1	21
Oklahoma	1	7	2	0	10
Oregon	0	13	0	0	13
Pennsylvania	16	12	1	0	29
Puerto Rico	4	2	2	0	8
Rhode Island	6	5	1	0	12
South Carolina	2	6	1	0	9
South Dakota	2	5	1	0	8
Tennessee	6	8	3	0	17
Texas	10	21	4	0	35
Utah	0	6	0	0	6
Vermont	0	6	2	0	8
Virgin Islands	2	3	1	0	6
Virginia	6	11	1	0	18
Washington	1	16	2	0	19
West Virginia	3	6	2	0	11
Wisconsin	2	16	0	0	18
Wyoming	1	5	0	0	6
