Tour	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
Malaysia Super Series	Lee Chong Wei	Tine Rasmussen	Markis Kido Hendra Setiawan	Yang Wei Zhang Jiewen	He Hanbin Yu Yang
Korea Open Super Series	Lee Hyun-il	Zhou Mi	Fu Haifeng Cai Yun	Du Jing Yu Yang	Lee Yong-dae Lee Hyo-jung
All England Super Series	Chen Jin	Tine Rasmussen	Jung Jae-sung Lee Yong-dae	Lee Hyo-jung Lee Kyung-won	Zheng Bo Gao Ling
Swiss Open Super Series	Lin Dan	Xie Xingfang	Jung Jae-sung Lee Yong-dae	Yang Wei Zhang Jiewen	He Hanbin Yu Yang
Singapore Super Series	Lee Chong Wei	Tine Rasmussen	Zakry Abdul Latif Fairuzizuan Mohd Tazari	Du Jing Yu Yang	Nova Widianto Lilyana Natsir
Indonesia Super Series	Sony Dwi Kuncoro	Zhu Lin	Zakry Abdul Latif Fairuzizuan Mohd Tazari	Vita Marissa Lilyana Natsir	Zheng Bo Gao Ling
Japan Super Series	Sony Dwi Kuncoro	Wang Yihan	Lars Paaske Jonas Rasmussen	Cheng Shu Zhao Yunlei	Muhammad Rizal Vita Marissa
China Masters Super Series	Sony Dwi Kuncoro	Zhou Mi	Markis Kido Hendra Setiawan	Cheng Shu Zhao Yunlei	Xie Zhongbo Zhang Yawen
Denmark Super Series	Peter Gade	Wang Lin	Markis Kido Hendra Setiawan	Wong Pei Tty Chin Eei Hui	Joachim Fischer Nielsen Christinna Pedersen
French Super Series	Peter Gade	Wang Lin	Markis Kido Hendra Setiawan	Du Jing Yu Yang	He Hanbin Yu Yang
China Open Super Series	Lin Dan	Jiang Yanjiao	Jung Jae-sung Lee Yong-dae	Zhang Yawen Zhao Tingting	Lee Yong-dae Lee Hyo-jung
Hong Kong Super Series	Chen Jin	Wang Chen	Jung Jae-sung Lee Yong-dae	Zhang Yawen Zhao Tingting	Xie Zhongbo Zhang Yawen
