Match No.	Date	Time	Score	Venue	Match Report
2	2008-03-21	14:00	0 – 5	Cortuba	Match Report
4	2008-03-21	20:30	4 – 0	African Union	Match Report
5	2008-03-22	18:00	3 – 3	African Union	Match Report
7	2008-03-22	20:00	4 – 2	African Union	Match Report
9	2008-03-23	18:00	1 – 4	African Union	Match Report
11	2008-03-23	20:00	4 – 1	African Union	Match Report
15	2008-03-24	18:00	1 – 7	African Union	Match Report
16	2008-03-24	20:00	2 – 1	Cortuba	Match Report
17	2008-03-25	18:00	5 – 3	Cortuba	Match Report
18	2008-03-25	20:00	8 – 1	African Union	Match Report
