Office	Democratic ticket	Republican ticket	Socialist ticket	Constitutional ticket	Law Preservation ticket
Governor	Herbert H. Lehman	Robert Moses	Charles Solomon	(none)	William F. Varney
Lieutenant Governor	M. William Bray	Fred J. Douglas	Herman Kobbe	(none)	James F. Luckey
Comptroller	Morris S. Tremaine	Wilson R. Campbell	Fred Sander	(none)	Fred C. Foster
Attorney General	John J. Bennett, Jr.	William T. Powers	William Karlin	(none)	Joseph S. Robinson
Chief Judge	Frederick E. Crane	Frederick E. Crane	Jacob Hillquit	(none)	Frederick E. Crane
Judge of the Court of Appeals	John T. Loughran	John T. Loughran	Darwin J. Meserole	(none)	John T. Loughran
Judge of the Court of Appeals	Edward R. Finch	Charles B. Sears	Julian H. Weiss	(none)	David E. Hartshorn
U.S. Senator	Royal S. Copeland	E. Harold Cluett	Norman Thomas	Henry Breckinridge	William Sheafe Chase
U.S. Representative-at-large	Matthew J. Merritt	William B. Groat, Jr.	Charles W. Noonan	(none)	William E. Barron
U.S. Representative-at-large	Caroline O'Day	Natalie F. Couch	August Claessens	(none)	Dorothy Frooks
