Date of Issue	Theme	Denomination	Design	Illustration	Printing Process	Paper Type	First Day Cover Cancellation
3 April 2006	Birthday	51 cents	Designwerke Inc., Andrew Perro	Designwerke Inc., Andrew Perro	Lithography in 8 colours	Tullis Russell Coatings	Ottawa, Ontario
7 April 2006	Dorothy Knowles	51 cents	Hélène L’Heureux	N/A	Lithography in 9 colours	Tullis Russell Coatings	Unity, Saskatchewan
20 April 2006	Canadian Labour Congress : 1956-2006	51 cents	Steven Spazuk	Marc Montplaisir	Lithography in 7 colours	Tullis Russell Coatings	Ottawa , Ontario
20 April 2006	Queen Elizabeth II , 80th Birthday	51 cents	q30 design inc.	Department of Canadian Heritage	Lithography in 7 colours	Fasson	Ottawa, Ontario
26 April 2006	McClelland and Stewart : 1906-2006	51 cents	James Roberts, Overdrive Design Ltd.	James Roberts, Overdrive Design Ltd.	Lithography in 2 colours	Tullis Russell Coatings	Toronto, Ontario
26 April 2006	Canadian Museum of Civilization	51 cents	Neville Smith	Canadian Museum of Civilization	Lithography in 6 colours	Tullis Russell Coatings	Gatineau , Quebec
26 May 2006	Canadians in Hollywood, John Candy	51 cents	John Belisle, Kosta Tsetsekas	Neal Armstrong	Lithography in 5 colours plus 2 varnishes	Tullis Russell Coatings	Toronto, ON and Vancouver, BC
26 May 2006	Canadians in Hollywood, Lorne Greene	51 cents	John Belisle, Kosta Tsetsekas	Neal Armstrong	Lithography in 5 colours plus 2 varnishes	Tullis Russell Coatings	Toronto, ON and Vancouver, BC
26 May 2006	Canadians in Hollywood, Mary Pickford	51 cents	John Belisle, Kosta Tsetsekas	Neal Armstrong	Lithography in 5 colours plus 2 varnishes	Tullis Russell Coatings	Toronto, ON and Vancouver, BC
26 May 2006	Canadians in Hollywood, Fay Wray	51 cents	John Belisle, Kosta Tsetsekas	Neal Armstrong	Lithography in 5 colours plus 2 varnishes	Tullis Russell Coatings	Toronto, ON and Vancouver, BC
28 May 2006	Champlain surveys the East Coast	51 cents	Fugazi	Francis Back, Martin Cote	Lithography in 6 colours plus 1 intaglio	Tullis Russell Coatings	Annapolis Royal, Nova Scotia
15 June 2006	Vancouver Aquarium : 1906-2006	51 cents	Kevin van der Leek	Grant Faint	Lithography in 7 colours plus varnish	Tullis Russell Coatings	Vancouver, British Columbia
30 June 2006	Atlas of Canada	51 cents	Karen Smith, Trivium Design Inc.	Ivan Murphy	Lithography in 9 colours	Tullis Russell Coatings	Ottawa, Ontario
6 July 2006	World Lacrosse Championships	51 cents	Tom Yakobina	Yvan Meunier	Lithography in 6 colours	Tullis Russell Coatings	London, Ontario
19 July 2006	Mountaineering	51 cents	Xerxes Irani	Whyte Museum, Getty Images	Lithography in 7 colours with spot gloss varnish	Tullis Russell Coatings	Canmore, Alberta
3 August 2006	Duck Decoys, Barrow's Golden Eye	51 cents	Oliver Hill and Dennis Page	Pierre Leduc	Lithography in 4 colours	Tullis Russell Coatings	Smiths Falls, Ontario
3 August 2006	Duck Decoys, Black Duck	51 cents	Oliver Hill and Dennis Page	Pierre Leduc	Lithography in 4 colours	Tullis Russell Coatings	Smiths Falls, Ontario
3 August 2006	Duck Decoys, Mallard	51 cents	Oliver Hill and Dennis Page	Pierre Leduc	Lithography in 4 colours	Tullis Russell Coatings	Smiths Falls, Ontario
3 August 2006	Duck Decoys, Red Breasted Merganser	51 cents	Oliver Hill and Dennis Page	Pierre Leduc	Lithography in 4 colours	Tullis Russell Coatings	Smiths Falls, Ontario
16 August 2006	Society of Graphic Designers of Canada	51 cents	David Coates, Rod Roodenburg, Len-Nard Yambot	David Coates, Rod Roodenburg, Len-Nard Yambot	Lithography in 5 colours	Tullis Russell Coatings	Toronto, Ontario
23 August 2006	Wine and Cheese, Cheese Wedge	51 cents	Derwyn Goodall	Robert Wigington	Lithography in 8 colours	Tullis Russell Coatings	St. Catharines, Ontario
23 August 2006	Wine and Cheese, Wine Labels	51 cents	Derwyn Goodall	Robert Wigington	Lithography in 8 colours	Tullis Russell Coatings	St. Catharines, Ontario
26 September 2006	Macdonald College	51 cents	Denis L'Allier	Guy Lavigueur	Lithography in 6 colours	Tullis Russell Coatings	Sainte-Anne-de-Bellevue, Quebec
29 September 2006	Endangered Species, Blotched Tiger Salamander	51 cents	Sputnik Design Partners	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Calgary, Alberta
29 September 2006	Endangered Species, Blue Racer	51 cents	Sputnik Design Partners	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Calgary, Alberta
29 September 2006	Endangered Species, Newfoundland Marten	51 cents	Sputnik Design Partners	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Calgary, Alberta
29 September 2006	Endangered Species, Swift Fox	51 cents	Sputnik Design Partners	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Calgary, Alberta
17 October 2006	Opera, Maureen Forrester	51 cents	Paul Haslip and Judith Lacerte	Alanna Cavanagh	Lithography in 11 colours	Tullis Russell Coatings	Toronto, Ontario
17 October 2006	Opera, Raul Jobin	51 cents	Paul Haslip and Judith Lacerte	Alanna Cavanagh	Lithography in 11 colours	Tullis Russell Coatings	Toronto, Ontario
17 October 2006	Opera, Edward Johnson	51 cents	Paul Haslip and Judith Lacerte	Alanna Cavanagh	Lithography in 11 colours	Tullis Russell Coatings	Toronto, Ontario
17 October 2006	Opera, Léopold Simoneau and Pierrette Alarie	51 cents	Paul Haslip and Judith Lacerte	Alanna Cavanagh	Lithography in 11 colours	Tullis Russell Coatings	Toronto, Ontario
17 October 2006	Opera, Jon Vickers	51 cents	Paul Haslip and Judith Lacerte	Alanna Cavanagh	Lithography in 11 colours	Tullis Russell Coatings	Toronto, Ontario
1 November 2006	Madonna and Child	51 cents	Pierre Fontaine	Patrick Altman	Lithography in 6 colours plus varnish	Tullis Russell Coatings	Noel, Nova Scotia
16 November 2006	Definitives: Flag, Bras d’Or Lake	Non-denominated	Larry Fisher, Johnny Johnson, I.K. MacNeil	G. Klassen, David Nunuk, J. David Andrews	Lithography in 5 colours	Tullis Russell Coatings	Ottawa, ON
16 November 2006	Definitives: Flag, Chemainus, BC	Non-denominated	Larry Fisher, Johnny Johnson, I.K. MacNeil	G. Klassen, David Nunuk, J. David Andrews	Lithography in 5 colours	Tullis Russell Coatings	Ottawa, ON
16 November 2006	Definitives: Flag, Churchill, Manitoba	Non-denominated	Larry Fisher, Johnny Johnson, I.K. MacNeil	G. Klassen, David Nunuk, J. David Andrews	Lithography in 5 colours	Tullis Russell Coatings	Ottawa, ON
16 November 2006	Definitives: Flag, Sirmilik National Park	Non-denominated	Larry Fisher, Johnny Johnson, I.K. MacNeil	G. Klassen, David Nunuk, J. David Andrews	Lithography in 5 colours	Tullis Russell Coatings	Ottawa, ON
16 November 2006	Definitives: Flag, Tuktut Nogait National Park	Non-denominated	Larry Fisher, Johnny Johnson, I.K. MacNeil	G. Klassen, David Nunuk, J. David Andrews	Lithography in 5 colours	Tullis Russell Coatings	Ottawa, ON
16 November 2006	Definitives: Flowers	Non-denominated	Monique Dufour, Sophie Lafortune	Pifko	Lithography in 5 colours	Tullis Russell Coatings	Ottawa, ON
