Driver	No.	Team	Car	Race 1	GP 100	Race 3	Points
Mark Skaife	2	Holden Racing Team	Holden VZ Commodore	3	3	1	184
Marcos Ambrose	4	Stone Brothers Racing	Ford BA Falcon	2	4	2	182
Russell Ingall	9	Stone Brothers Racing	Ford BA Falcon	4	5	3	174
John Bowe	12	Brad Jones Racing	Ford BA Falcon	11	1	5	164
Jamie Whincup	23	Tasman Motorsport	Holden VZ Commodore	14	8	7	140
Jason Bright	6	Ford Performance Racing	Ford BA Falcon	5	7	18	138
Brad Jones	21	Brad Jones Racing	Ford BA Falcon	24	2	6	134
Cameron McConville	33	Garry Rogers Motorsport	Holden VZ Commodore	6	20	13	120
Jason Richards	3	Tasman Motorsport	Holden VZ Commodore	17	13	10	118
Steven Richards	11	Castrol Perkins Racing	Holden VY Commodore	8	22	11	116
Craig Lowndes	888	Triple Eight Race Engineering	Ford BA Falcon	DNF	6	4	112
Mark Winterbottom	20	Larkham Motor Sport	Ford BA Falcon	20	14	9	112
Jason Bargwanna	10	Larkham Motor Sport	Ford BA Falcon	27	12	8	104
Glenn Seton	18	Dick Johnson Racing	Ford BA Falcon	16	21	12	100
Steve Ellery	88	Triple Eight Race Engineering	Ford BA Falcon	15	9	DNF	84
Will Davison	44	Team Dynamik	Holden VZ Commodore	13	11	DNF	84
Steven Johnson	17	Dick Johnson Racing	Ford BA Falcon	10	15	DNF	82
Greg Ritter	5	Ford Performance Racing	Ford BA Falcon	9	17	DNF	80
Matthew White	25	Britek Motorsport	Ford BA Falcon	25	19	15	80
Paul Radisich	21	Team Kiwi Racing	Holden VZ Commodore	7	23	DNF	72
Garth Tander	16	HSV Dealer Team	Holden VZ Commodore	DNF	18	13	68
Todd Kelly	22	Holden Racing Team	Holden VZ Commodore	1	DNF	DNS	64
Alex Davison	7	Castrol Perkins Racing	Holden VY Commodore	21	DNF	16	58
Andrew Jones	34	Garry Rogers Motorsport	Holden VZ Commodore	23	DNF	17	52
Rick Kelly	15	HSV Dealer Team	Holden VZ Commodore	DNF	10	DNF	46
Paul Morris	29	Paul Morris Motorsport	Holden VZ Commodore	26	DNF	19	42
Tony Longhurst	45	Team Dynamik	Holden VZ Commodore	29	16	DNF	42
Paul Weel	50	Paul Weel Racing	Holden VZ Commodore	12	DNF	DNS	42
Greg Murphy	51	Paul Weel Racing	Holden VZ Commodore	28	DNF	20	36
Anthony Tratt	75	Paul Little Racing	Holden VY Commodore	18	DNF	DNS	30
Craig Baird	8	WPS Racing	Ford BA Falcon	19	DNF	DNS	28
