Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 8, 2002	Dallas Cowboys	W 19–10	Reliant Stadium	1–0	69,604
2	September 15, 2002	at San Diego Chargers	L 24–3	Qualcomm Stadium	1–1	56,098
3	September 22, 2002	Indianapolis Colts	L 23–3	Reliant Stadium	1–2	69,204
4	September 29, 2002	at Philadelphia Eagles	L 35–17	Veterans Stadium	1–3	64,867
5	Bye	Bye	Bye	Bye	Bye	Bye
6	October 13, 2002	Buffalo Bills	L 31–24	Reliant Stadium	1–4	70,120
7	October 20, 2002	at Cleveland Browns	L 34–17	Cleveland Browns Stadium	1–5	73,248
8	October 27, 2002	at Jacksonville Jaguars	W 21–19	ALLTEL Stadium	2–5	53,721
9	November 3, 2002	Cincinnati Bengals	L 38–3	Reliant Stadium	2–6	69,827
10	November 10, 2002	at Tennessee Titans	L 17–10	LP Field	2–7	68,804
11	November 17, 2002	Jacksonville Jaguars	L 24–21	Reliant Stadium	2–8	69,711
12	November 24, 2002	New York Giants	W 16–14	Reliant Stadium	3–8	70,054
13	December 1, 2002	at Indianapolis Colts	L 19–3	RCA Dome	3–9	56,820
14	December 8, 2002	at Pittsburgh Steelers	W 24–6	Heinz Field	4–9	58,551
15	December 15, 2002	Baltimore Ravens	L 23–19	Reliant Stadium	4–10	70,108
16	December 22, 2002	at Washington Redskins	L 26–10	FedEx Field	4–11	70,291
17	December 29, 2002	Tennessee Titans	L 13–3	Reliant Stadium	4–12	70,694
