Player	Position	Date of Birth (Age)	Caps	Club/province
Rui Cordeiro	Prop	14 October 1976	39	Académica de Coimbra
Ruben Spachuck	Prop	14 February 1981	18	Belenenses
Duarte Figueiredo	Prop	25 June 1982	3	CDUL
André Silva	Prop	9 February 1975	12	Stade Montois
Juan Muré	Prop	21 March 1983	0	Belenenses
João Correia	Hooker	19 August 1978	26	Direito
Joaquim Ferreira ( vc )	Hooker	27 April 1973	82	CDUP
Gonçalo Uva	Lock	15 December 1982	27	Montpellier
David Penalva	Lock	26 January 1981	18	Blagnac
Marcello d'Orey	Lock	7 March 1976	59	CDUP
Salvador Palha	Lock	14 April 1984	2	Direito
João Uva	Flanker	19 May 1980	35	Belenenses
Paulo Murinello	Flanker	4 May 1974	22	Cascais
Diogo Coutinho	Flanker	3 September 1977	28	Direito
Tiago Girão	Flanker	30 November 1984	2	CDUL
Juan Severino Somoza	Flanker	16 September 1981	10	Agronomia
Vasco Uva ( c )	Number 8	15 June 1982	39	Direito
Luís Pissarra	Scrum-half	5 October 1975	68	Agronomia
José Pinto	Scrum-half	5 February 1981	30	Direito
Gonçalo Malheiro	Fly-half	11 May 1978	38	CDUP
Duarte Cardoso Pinto	Fly-half	17 March 1982	25	Agronomia
Pedro Cabral	Fly-half	29 June 1983	3	CDUL
Diogo Mateus	Centre	7 February 1980	48	Belenenses
Diogo Gama	Centre	15 July 1981	10	Benfica
Miguel Portela	Centre	4 March 1974	53	Direito
Frederico Sousa	Centre	18 August 1978	38	Direito
António Aguilar	Wing	6 July 1978	47	Direito
Pedro Carvalho	Wing	29 June 1984	21	Direito
Gonçalo Foro	Wing	14 April 1982	15	CDUL
David Mateus	Wing	7 February 1980	15	Belenenses
Pedro Leal	Fullback	28 April 1984	20	Direito
