Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Elche CF	30	40	18	4	8	73	38	+35
2	Levante UD	30	37	16	5	9	49	33	+16
3	CA Almería	30	32	14	4	12	47	41	+6
4	CD Tenerife	30	31	12	7	11	34	38	-4
5	CF Extremadura	30	30	12	6	12	45	47	-2
6	Real Murcia	30	30	13	4	13	40	38	+2
7	Cádiz CF	30	29	11	7	12	51	57	-6
8	Córdoba CF	30	29	11	7	12	58	52	+6
9	Real Jaén	30	29	12	5	13	47	51	-4
10	AD Plus Ultra	30	29	11	7	12	39	49	-10
11	Atlético Ceuta	30	29	11	7	12	31	39	-8
12	CD San Fernando	30	29	11	7	12	39	43	-4
13	Hércules CF	30	28	10	8	12	44	51	-7
14	CD Badajoz	30	27	9	9	12	44	52	-8
15	CD Málaga	30	27	9	9	12	44	47	-3
16	CD Eldense	30	24	8	8	14	46	55	-9
