Track	Recorded	Catalogue	Release Date	Song Title	Time
1.	3/29/72	74-0815b	10/31/72	Always on My Mind	3:37
2.	3/28/72	74-0910b	3/4/73	Fool	3:30
3.	1/4/73	74-0910	3/4/73	Steamroller Blues	3:04
4.	7/23/73	APBO 0088	9/22/73	Raised On Rock	2:38
5.	7/23/73	APBO 0088b	9/22/73	For Ol' Times Sake	3:36
6.	7/22/73	APBO 0196	1/11/74	I've Got a Thing About You Baby	2:20
7.	7/21/73	APBO 0196b	1/11/74	Take Good Care of Her	2:51
8.	12/11/73	APBO 0280	5/10/74	If You Talk in Your Sleep	2:34
9.	12/15/73	PB 10074	9/27/74	Promised Land	2:55
10.	12/10/73	PB 10074b	9/27/74	It's Midnight	3:21
11.	12/13/73	PB 10191	1/4/75	My Boy	3:19
12.	12/13/73	2548b	10/74	Loving Arms	2:50
13.	3/11/75	PB 10278	4/22/75	T-R-O-U-B-L-E	3:02
14.	12/12/73	PB 10278b	4/23/75	Mr. Songman	2:07
15.	3/12/75	PB 10401	9/30/75	Bringing It Back	3:00
16.	3/12/75	PB 10401b	9/30/75	Pieces of My Life	4:03
17.	3/10/75	2635	11/75	Green Green Grass of Home	3:35
18.	12/12/73	PB 10191b	1/4/75	Thinking About You	3:00
19.	2/5/76	PB 10601	3/12/76	Hurt	2:06
20.	2/5/76	PB 10601b	3/12/76	For the Heart	3:22
21.	2/4/76	PB 10857	11/29/76	Moody Blue	3:22
22.	2/2/76	PB 10857b	11/29/76	She Thinks I Still Care	3:51
23.	10/29/76	PB 10998	6/6/77	Way Down	2:38
24.	10/29/76	PB 10998b	6/6/77	Pledging My Love	2:50
