Round	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	Australian Grand Prix	Jacques Villeneuve	Jacques Villeneuve	Damon Hill	Williams - Renault	Report
2	Brazilian Grand Prix	Damon Hill	Damon Hill	Damon Hill	Williams - Renault	Report
3	Argentine Grand Prix	Damon Hill	Jean Alesi	Damon Hill	Williams - Renault	Report
4	European Grand Prix	Damon Hill	Damon Hill	Jacques Villeneuve	Williams - Renault	Report
5	San Marino Grand Prix	Michael Schumacher	Damon Hill	Damon Hill	Williams - Renault	Report
6	Monaco Grand Prix	Michael Schumacher	Jean Alesi	Olivier Panis	Ligier - Mugen-Honda	Report
7	Spanish Grand Prix	Damon Hill	Michael Schumacher	Michael Schumacher	Ferrari	Report
8	Canadian Grand Prix	Damon Hill	Jacques Villeneuve	Damon Hill	Williams - Renault	Report
9	French Grand Prix	Michael Schumacher	Jacques Villeneuve	Damon Hill	Williams - Renault	Report
10	British Grand Prix	Damon Hill	Jacques Villeneuve	Jacques Villeneuve	Williams - Renault	Report
11	German Grand Prix	Damon Hill	Damon Hill	Damon Hill	Williams - Renault	Report
12	Hungarian Grand Prix	Michael Schumacher	Damon Hill	Jacques Villeneuve	Williams - Renault	Report
13	Belgian Grand Prix	Jacques Villeneuve	Gerhard Berger	Michael Schumacher	Ferrari	Report
14	Italian Grand Prix	Damon Hill	Michael Schumacher	Michael Schumacher	Ferrari	Report
15	Portuguese Grand Prix	Damon Hill	Jacques Villeneuve	Jacques Villeneuve	Williams - Renault	Report
16	Japanese Grand Prix	Jacques Villeneuve	Jacques Villeneuve	Damon Hill	Williams - Renault	Report
