Rank	Country	Continent	Summer Olympics	Winter Olympics	Total
1	United States	North America	4 ( 1904 , 1932 , 1984 , 1996 )	4 ( 1932 , 1960 , 1980 , 2002 )	8
2	France	Europe	2 ( 1900 , 1924 )	3 ( 1924 , 1968 , 1992 )	5
3	Japan	Asia	2 ( 1940 , 1964 , 2020 )	2 ( 1940 , 1972 , 1998 )	4
4	United Kingdom	Europe	3 ( 1908 , 1944 , 1948 , 2012 )	0	3
4	Canada	North America	1 ( 1976 )	2 ( 1988 , 2010 )	3
4	Italy	Europe	1 ( 1960 )	2 ( 1944 , 1956 , 2006 )	3
4	Germany	Europe	2 ( 1916 , 1936 , 1972 )	1 ( 1936 )	3
8	South Korea	Asia	1 ( 1988 )	1 ( 2018 )	2
8	Soviet Union / Russia	Europe	1 ( 1980 )	1 ( 2014 )	2
8	/ Greece	Europe	2 ( 1896 , 2004 )	0	2
8	Australia	Oceania	2 ( 1956 , 2000 )	0	2
8	Norway	Europe	0	2 ( 1952 , 1994 )	2
8	Austria	Europe	0	2 ( 1964 , 1976 )	2
8	Switzerland	Europe	0	2 ( 1928 , 1948 )	2
15	Brazil	South America	1 ( 2016 )	0	1
15	China	Asia	1 ( 2008 )	0	1
15	Spain	Europe	1 ( 1992 )	0	1
15	Yugoslavia	Europe	0	1 ( 1984 )	1
15	Mexico	North America	1 ( 1968 )	0	1
15	Finland	Europe	1 ( 1940 , 1952 )	0	1
15	Netherlands	Europe	1 ( 1928 )	0	1
15	Belgium	Europe	1 ( 1920 )	0	1
15	Sweden	Europe	1 ( 1912 )	0	1
