Place	Player	Country	Score	To par	Money ( $ )
1	Michael Campbell	New Zealand	71-69-71-69=280	E	1,170,000
2	Tiger Woods	United States	70-71-72-69=282	+2	700,000
T3	Tim Clark	South Africa	76-69-70-70=285	+5	320,039
T3	Sergio García	Spain	71-69-75-70=285	+5	320,039
T3	Mark Hensby	Australia	71-68-72-74=285	+5	320,039
T6	Davis Love III	United States	77-70-70-69=286	+6	187,813
T6	Rocco Mediate	United States	67-74-74-71=286	+6	187,813
T6	Vijay Singh	Fiji	70-70-74-72=286	+6	187,813
T9	Arron Oberholser	United States	76-67-71-73=287	+7	150,834
T9	Nick Price	Zimbabwe	72-71-72-72=287	+7	150,834
