Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Carmarthen RFC	22	21	0	1	610	228	77	22	11	1	96
Tonmawr RFC	22	19	0	3	678	226	101	22	10	1	87
Narberth RFC	22	13	0	9	526	430	73	52	10	2	64
Felinfoel RFC	22	12	0	10	390	472	44	56	4	6	58
Corus (Port Talbot) RFC	22	11	0	11	404	379	47	48	6	2	52
Carmarthen Athletic RFC	22	10	0	12	409	469	51	56	6	5	51
Whitland RFC	22	10	1	11	338	309	33	33	3	4	49
Bonymaen RFC	22	9	1	12	402	391	46	45	4	5	47
Cwmllynfell RFC	22	10	0	12	372	457	42	59	2	4	46
Llangennech RFC	22	8	0	14	367	503	41	60	3	5	40
Maesteg RFC	22	8	0	14	284	417	29	52	0	5	37
Dunvant RFC	22	0	0	22	225	724	27	106	1	5	6
