Tie no	Home team	Score	Away team	Date
1	Enfield	0–1	Yeovil Town	24 November 1979
2	Blackpool	1–1	Wigan Athletic	24 November 1979
Replay	Wigan Athletic	2–0	Blackpool	28 November 1979
3	Chester	5–1	Workington	24 November 1979
4	Darlington	1–1	Huddersfield Town	24 November 1979
Replay	Huddersfield Town	0–1	Darlington	27 November 1979
5	Barking	1–0	Oxford United	24 November 1979
6	Rochdale	2–1	Scunthorpe United	24 November 1979
7	Reading	4–2	Kettering Town	24 November 1979
8	Walsall	2–0	Stockport County	24 November 1979
9	Gillingham	0–0	Wimbledon	24 November 1979
Replay	Wimbledon	4–2	Gillingham	27 November 1979
10	Sheffield Wednesday	3–0	Lincoln City	24 November 1979
11	Grimsby Town	1–1	Chesterfield	24 November 1979
Replay	Chesterfield	2–3	Grimsby Town	27 November 1979
12	Stafford Rangers	3–2	Moor Green	24 November 1979
13	Swindon Town	4–1	Brentford	24 November 1979
14	Sheffield United	3–0	Burscough	24 November 1979
15	Tranmere Rovers	9–0	AP Leamington	24 November 1979
16	Wycombe Wanderers	0–3	Croydon	24 November 1979
17	Kidderminster Harriers	0–2	Blackburn Rovers	24 November 1979
18	Barnsley	5–2	Hartlepool United	24 November 1979
19	Portsmouth	1–0	Newport County	24 November 1979
20	Carlisle United	3–3	Hull City	24 November 1979
Replay	Hull City	0–2	Carlisle United	28 November 1979
21	Altrincham	3–0	Crewe Alexandra	24 November 1979
22	Blyth Spartans	0–2	Mansfield Town	24 November 1979
23	Port Vale	1–3	Doncaster Rovers	23 November 1979
24	Minehead	1–2	Chesham United	24 November 1979
25	Halifax Town	2–0	Scarborough	24 November 1979
26	Wealdstone	0–1	Southend United	24 November 1979
27	Morecambe	1–1	Rotherham United	24 November 1979
Replay	Rotherham United	2–0	Morecambe	27 November 1979
28	York City	5–2	Mossley F.C.	24 November 1979
29	Hereford United	1–0	Northampton Town	24 November 1979
30	Aldershot	4–1	Exeter City	24 November 1979
31	Peterborough United	1–2	Bournemouth	24 November 1979
32	Harlow Town	2–1	Leytonstone/Ilford	24 November 1979
33	Colchester United	1–1	Plymouth Argyle	24 November 1979
Replay	Plymouth Argyle	0–1	Colchester United	27 November 1979
34	Nuneaton Borough	3–3	Northwich Victoria	24 November 1979
Replay	Northwich Victoria	3–0	Nuneaton Borough	26 November 1979
35	Gravesend & Northfleet	0–1	Torquay United	24 November 1979
36	Salisbury	1–2	Millwall	24 November 1979
37	Slough Town	3–1	Hungerford Town	24 November 1979
38	Burton Albion	0–2	Bury	24 November 1979
39	Fareham Town	2–3	Merthyr Tydfil	24 November 1979
40	Brandon United	0–3	Bradford City	24 November 1979
