Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Winner	1978	London	Carpet	Tim Gullikson	6–7, 6–4, 7–6, 6–2
Winner	1978	Stockholm	Hard	Tim Gullikson	6–2, 6–2
Runner-up	1979	Toronto	Hard	Björn Borg	3–6, 3–6
Winner	1979	London	Carpet	Harold Solomon	6–3, 6–4, 7–5
Winner	1979	Stockholm	Hard	Gene Mayer	6–7, 6–3, 6–3
Winner	1980	London	Carpet	Gene Mayer	6–4, 6–4, 6–3
Runner-up	1980	Stockholm	Hard	Björn Borg	3–6, 4–6
Runner-up	1980	Philadelphia	Carpet	Jimmy Connors	3–6, 6–2, 3–6, 6–3, 4–6
Winner	1981	Cincinnati	Hard	Chris Lewis	6–3, 6–4
Runner-up	1981	London	Carpet	Jimmy Connors	6–3, 6–2, 3–6, 4–6, 2–6
Winner	1982	Tokyo	Carpet	Peter McNamara	6–3, 6–4
Winner	1982	London	Carpet	Brian Gottfried	6–3, 6–2, 6–4
Winner	1982	Philadelphia	Carpet	Jimmy Connors	6–3, 6–3, 6–1
Runner-up	1983	Cincinnati	Hard	Mats Wilander	4–6, 4–6
Winner	1983	London	Carpet	Jimmy Connors	7-5, 6-1, 6–4
Winner	1983	Philadelphia	Carpet	Ivan Lendl	4–6, 7–6, 6–4, 6–3
Winner	1983	Forest Hills	Clay	Vitas Gerulaitis	6–3, 7–5
Winner	1984	Toronto	Hard	Vitas Gerulaitis	6–0, 6–3
Winner	1984	Stockholm	Hard	Mats Wilander	6–2, 3–6, 6–2
Winner	1984	Philadelphia	Carpet	Ivan Lendl	6–3, 3–6, 6–3, 7–6
Winner	1984	Forest Hills	Clay	Ivan Lendl	6–4, 6–2
Winner	1985	Stockholm	Hard	Anders Järryd	6–1, 6–2
Winner	1985	Montreal	Hard	Ivan Lendl	7–5, 6–3
Winner	1985	Philadelphia	Carpet	Miloslav Mečíř	6–3, 7–6, 6–1
Runner-up	1985	Forest Hills	Clay	Ivan Lendl	3–6, 3–6
