Episode	Title	Writer	Director	Original Airdate
1	"The Comeback" ( Pilot )	Lisa Kudrow & Michael Patrick King	Michael Patrick King	June 5, 2005 (HBO)
2	"Valerie Triumphs at the Upfronts"	Lisa Kudrow & Michael Patrick King	Michael Patrick King	June 12, 2005 (HBO)
3	"Valerie Bonds with the Cast"	Michael Patrick King	Michael Lehmann	June 19, 2005 (HBO)
4	"Valerie Stands Up for Aunt Sassy"	John Riggi	Michael Lehmann	June 26, 2005 (HBO)
5	"Valerie Demands Dignity"	Linda Wallem	Greg Mottola	July 10, 2005 (HBO)
6	"Valerie Saves the Show"	Michael Schur	Greg Mottola	July 17, 2005 (HBO)
7	"Valerie Gets a Special Episode"	John Riggi	Michael Lehmann	July 24, 2005 (HBO)
8	"Valerie Relaxes in Palm Springs"	Linda Wallem and Michael Patrick King	Michael Lehmann	July 31, 2005 (HBO)
9	"Valerie Hangs With the Cool Kids"	Michael Schur	J. Clark Mathis	August 7, 2005 (HBO)
10	"Valerie Gets a Magazine Cover"	Amy B. Harris	David Steinberg	August 15, 2005 (HBO)
11	"Valerie Stands Out on the Red Carpet"	Michael Patrick King	Michael Patrick King	August 21, 2005 (HBO)
12	"Valerie Shines Under Stress"	Heather Morgan	David Steinberg	August 28, 2005 (HBO)
13	"Valerie Does Another Classic Leno"	Michael Patrick King	Michael Patrick King	September 4, 2005 (HBO)
