School Year	Class A	Class AA	Class AAA	Class AAAA	Class AAAAA
1986-87	Menard	Florence	Dalhart	Monahans	Wichita Falls Rider
1987-88	Happy	Troup	Orangefield	Wichita Falls	Round Rock Westwood
1988-89	Abbott	Olney	Falfurrias	Port Neches-Groves	Converse Judson
1989-90	Jayton	(tie) Brackettville/Overton	Gonzales	Midlothian	Wichita Falls Rider
1990-91	Abbott	Rosebud-Lott	Orangefield	Stephenville	Duncanville
1991-92	Trenton	Cooper	Troy	Mineral Wells	Weslaco
1992-93	Trenton	Rosebud-Lott	Ferris	Livingston	Abilene
1993-94	Lazbuddie	Rosebud-Lott	Mont Belvieu Barbers Hill	Port Neches-Groves	Duncanville
1994-95	Lazbuddie	Idalou	Friona	Rockwall	Fort Worth Paschal
1995-96	Lazbuddie	Rosebud-Lott	Mont Belvieu Barbers Hill	Carthage	Humble Kingwood
1996-97	Era	Rosebud-Lott	Dalhart	Canyon Randall	Abilene
1997-98	Era	Stamford	Dalhart	Kaufman	Abilene
1998-99	Lazbuddie	Rosebud-Lott	Dalhart	Snyder	Abilene
1999-2000	Lazbuddie	Rosebud-Lott	Hamshire-Fannett	Lockhart	Abilene
2000-01	Lazbuddie	Rosebud-Lott	Cameron Yoe	North Lamar	Abilene
2001-02	Trenton	Rosebud-Lott	Giddings	Snyder	Fort Bend Dulles
2002-03	Trenton	Rosebud-Lott	Cameron Yoe	Brownwood	Southlake Carroll
2003-04	Lazbuddie	Caddo Mills	Hamshire-Fannett	Brownwood	Southlake Carroll
2004-05	Trenton	Rosebud-Lott	Dalhart	Brownwood	Keller
2005-06	Loop	Rosebud-Lott	Dalhart	Brownwood	Keller
2006-07	Sudan	Tuscola Jim Ned	Giddings	Mesquite Poteet	Keller
2007-08	Sudan	Tuscola Jim Ned	Snyder	Brownwood	Keller
2008-09	Sudan	Tuscola Jim Ned/Caddo Mills (tie)	Dalhart	Hallsville	Edinburg
2009-10	Happy	Grandview/Rosebud-Lott (tie)	Giddings	Granbury	Laredo United
