Date	Time	Competition	Opponent	Ground	Score
17 July 2007	15:30 GMT	Friendly Match	China Olympics Team	Riscone di Brunico	3-0
21 July 2007	15:30 GMT	Friendly Match	Südtirol	Riscone di Brunico	2-0
24 July 2007	18:45 GMT	Friendly Match	Partizan Belgrade	Marco Druso	1-0
29 July 2007	14:00 GMT	Emirates Cup	Valencia	Emirates Stadium	0-2
30 July 2007	16:15 GMT	Emirates Cup	Arsenal	Emirates Stadium	1-2
1 August 2007	20:00 GMT	Pirelli Cup	Manchester United	Old Trafford	3-2
4 August 2007	15:00 GMT	Friendly Match	Aston Villa	Villa Park	0-3
8 August 2007	19:45 GMT	Birra Moretti Cup	Napoli	San Paolo	2-0
8 August 2007	21:00 GMT	Birra Moretti Cup	Juventus	San Paolo	1-0
11 August 2007	16:00 GMT	Friendly Match	AZ	DSB Stadion	2-4
14 August 2007	18:30 GMT	TIM Trophy	Juventus	San Siro	0-0*/5-4
14 August 2007	21:00 GMT	TIM Trophy	Milan	San Siro	1-0
29 August 2007	20:00 GMT	Gamper Trophy	Barcelona	Camp Nou	0-5
