Nat.	Name	Since	Goals	Ends	Transfer fee
ESP	Casillas ( VC )	1999	0	2017	Youth system
ESP	Codina	2007	0	2010	Youth system
POL	Dudek	2007	0	2009	Free
ITA	Cannavaro	2006	2	2009	€10M
ARG	Heinze	2007	1	2011	€12M
BRA	Marcelo	2007 (Winter)	0	2012	€6.5M
GER	Metzelder	2007	0	2010	Free
POR	Pepe	2007	0	2012	€30M
ESP	Sergio Ramos	2005	18	2013	€27M
ESP	M. Salgado ( VC )	1999	4	2009	€11M
ESP	Miguel Torres	2007	0	2012	Youth system
MLI	M. Diarra	2006	4	2011	€26M
ARG	Gago	2007 (Winter)	0	2012	€20M
EQG	Balboa	2005	4	2011	Youth system
BRA	Baptista	2005	13	2010	€20M
NED	Drenthe	2007	4	2012	€13M
ESP	Guti ( VC )	1996	73	2010	Youth system
NED	Sneijder	2007	9	2012	€27M
NED	Robben	2007	5	2012	€36M
ARG	Higuaín	2007 (Winter)	12	2012	€13M
ESP	Raúl ( captain )	1994	292	2011	Youth system
BRA	Robinho	2004	30	2010	€24M
ARG	Saviola	2007	5	2011	Free
ESP	Soldado	2005	4	2012	Youth system
NED	v. Nistelrooy	2006	53	2010	€15M
