District	Incumbent	Party	First elected	Results	Candidates
Pennsylvania 1	Bob Brady	Democratic	1998	Re-elected	Bob Brady (D) unopposed
Pennsylvania 4	Melissa Hart	Republican	2000	Lost re-election Democratic gain	Jason Altmire (D) 51.9% Melissa Hart (R) 48.1%
Pennsylvania 5	John Peterson	Republican	1996	Re-elected	John Peterson (R) 60.1% Don Hilliard (D) 39.9%
Pennsylvania 6	Jim Gerlach	Republican	2002	Re-elected	Jim Gerlach (R) 50.7% Lois Murphy (D) 49.3%
Pennsylvania 7	Curt Weldon	Republican	1986	Lost re-election Democratic gain	Joe Sestak (D) 56.4% Curt Weldon (R) 43.6%
Pennsylvania 9	Bill Shuster	Republican	2001	Re-elected	Bill Shuster (R) 60.3% Tony Barr (D) 39.7%
Pennsylvania 10	Don Sherwood	Republican	1998	Lost re-election Democratic gain	Chris Carney (D) 52.9% Don Sherwood (R) 47.1%
Pennsylvania 11	Paul Kanjorski	Democratic	1984	Re-elected	Paul Kanjorski (D) 72.5% Joseph Leonardi (R) 27.5%
Pennsylvania 12	John Murtha	Democratic	1974	Re-elected	John Murtha (D) 60.8% Diana Irey (R) 39.2%
Pennsylvania 13	Allyson Schwartz	Democratic	2004	Re-elected	Allyson Schwartz (D) 66.1% Raj Bhakta (R) 33.9%
Pennsylvania 14	Mike Doyle	Democratic	1994	Re-elected	Mike Doyle (D) 90.1% Titus North (G) 9.9%
Pennsylvania 17	Tim Holden	Democratic	1992	Re-elected	Tim Holden (D) 64.5% Matthew Wertz (R) 35.5%
