Name	Years	Gender	Area	Authority	Decile	Roll
Bairds Mainfreight Primary School	1–6	Coed	Otara	State	1	372
Dawson School	1–6	Coed	Otara	State	1	391
East Tamaki School	1–6	Coed	East Tamaki	State	1	275
Ferguson Intermediate	7–8	Coed	Otara	State	1	469
Flat Bush School	1–6	Coed	Otara	State	1	345
Holy Cross School	1–8	Coed	Papatoetoe	State integrated	2	599
Kedgley Intermediate	7–8	Coed	Papatoetoe	State	2	766
Mayfield School	1–6	Coed	Otara	State	1	334
Papatoetoe Central School	1–6	Coed	Papatoetoe	State	4	660
Papatoetoe East School	1–6	Coed	Papatoetoe	State	3	500
Papatoetoe Intermediate	7–8	Coed	Papatoetoe	State	3	804
Papatoetoe North School	1–6	Coed	Mangere East	State	3	783
Papatoetoe South School	1–6	Coed	Papatoetoe	State	2	558
Papatoetoe West School	1–6	Coed	Papatoetoe	State	3	797
Puhinui School	1–6	Coed	Papatoetoe	State	3	604
Redoubt North School	1–8	Coed	Manukau Central	State	2	677
Rongomai School	1–6	Coed	East Tamaki	State	1	204
Sir Edmund Hillary Collegiate Junior School	1–6	Coed	Otara	State	1	453
Sir Edmund Hillary Collegiate Middle School	7–8	Coed	Otara	State	1	227
South Auckland Seventh-day Adventist School	1–8	Coed	Papatoetoe	State integrated	2	300
St John The Evangelist School	1–8	Coed	Otara	State integrated	1	261
TKKM o Otara	1–8	Coed	Otara	State	1	42
Wymondley Road School	1–6	Coed	Otara	State	1	209
Yendarra School	1–6	Coed	Otara	State	1	306
