Date	Location	Opponent	Terps Points	Opp. Points	Record
Nov. 18/05	Loudonville, NY	Siena	107	66	1-0
Nov. 20/05	College Park, MD	Xavier	93	68	2-0
Nov. 24/05	St. Thomas, US Virgin Islands	Gonzaga	88	50	3-0
Nov. 25/05	St. Thomas, US Virgin Islands	Michigan State	75	61	4-0
Nov. 26/05	St. Thomas, US Virgin Islands	Tennessee	75	80	4-1
Dec. 1/05	College Park	Appalachian State	118	59	5-1
Dec. 4/05	College Park	Mount St. Mary's	102	53	6-1
Dec. 7/05	West Long Branch, NJ	Monmouth	88	55	7-1
Dec. 11/05	College Park	Arizona	92	67	8-1
Dec. 13/05	College Park	Coppin State	69	38	9-1
Dec. 22/05	Fairfax, Virginia	George Mason	70	33	10-1
Dec. 29/05	College Park	Central Connecticut State	94	57	11-1
Dec. 29/05	College Park	Furman	81	86	11-2
Dec. 30/05	College Park	Furman	92	58	12-2
Jan. 2/06	College Park	Manhattan	82	49	13-2
Jan. 5/06	Chestnut Hill, Massachusetts	Boston College	67	64	14-2
Jan. 8/06	College Park	Duke	68	86	14-3
Jan. 16/06	College Park	Florida State	75	57	15-3
Jan. 20/06	Charlottesville, Virginia	Virginia	84	74	16-3
Jan. 23/06	Blacksburg, Virginia	Virginia Tech	68	62	17-3
Jan. 26/06	College Park	Georgia Tech	79	71	18-3
