Latitude	Longitude	City	State	Country
79°59′N	85°56′W	Eureka	Nunavut	Canada
78°55′N	11°56′E	Ny-Ålesund	Svalbard	Norway
78°13′N	15°39′E	Longyearbyen	Svalbard	Norway
77°28′N	69°14′W	Qaanaaq	Greenland	Denmark
76°25′N	82°54′W	Grise Fiord	Nunavut	Canada
73°30'N	80°31'E	Dikson	Krasnoyarsk Krai	Russia
72°47'N	56°09'W	Upernavik	Greenland	Denmark
71°39'N	128°52'E	Tiksi	Sakha Republic	Russia
71°18′N	156°46′W	Barrow	Alaska	United States
70°59'N	25°59'E	Honningsvåg	Finnmark	Norway
70°40′N	23°41′E	Hammerfest	Finnmark	Norway
70°12′N	148°31′W	Deadhorse	Alaska	United States
70°05′N	27°53′E	Nuorgam	Lapland	Finland
70°05′N	29°44′E	Vadsø	Finnmark	Norway
