Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	17–11–1	Nick Gonzalez	Submission (rear naked choke)	Legacy FC 23	3	4:43	San Antonio, Texas , United States
Win	16–11–1	Rey Trujillo	KO (head kick and punches)	Legacy FC 21	3	0:24	Houston, Texas , United States
Loss	15–11–1	Cody McKenzie	Decision (unanimous)	UFC 159	3	5:00	Newark, New Jersey , United States
Loss	15–10–1	Max Holloway	Decision (split)	UFC 155	3	5:00	Las Vegas, Nevada , United States
Loss	15–9–1	Matt Grice	Decision (unanimous)	UFC on FX: Johnson vs. McCall	3	5:00	Sunrise, Florida , United States
Loss	15–8–1	Nam Phan	Decision (unanimous)	UFC 136	3	5:00	Houston, Texas , United States
Loss	15–7–1	Jung Chan-Sung	Submission (twister)	UFC Fight Night: Nogueira vs. Davis	2	4:59	Seattle, Washington , United States
Won	15–6–1	Nam Phan	Decision (split)	The Ultimate Fighter 12 Finale	3	5:00	Las Vegas, Nevada , United States
Loss	14–6–1	Mark Hominick	Decision (split)	WEC 51	3	5:00	Broomfield, Colorado , United States
Win	14–5–1	Jung Chan-Sung	Decision (split)	WEC 48	3	5:00	Sacramento, California , United States
Draw	13–5–1	George Roop	Draw (split)	WEC 47	3	5:00	Columbus, Ohio , United States
Loss	13–5	Manny Gamburyan	Decision (unanimous)	WEC 44	3	5:00	Las Vegas, Nevada , United States
Win	13–4	Jameel Massouh	Decision (split)	WEC 42	3	5:00	Las Vegas, Nevada , United States
Loss	12–4	Mike Brown	Submission (arm-triangle choke)	WEC 39	1	1:57	Corpus Christi, Texas , United States
Win	12–3	Jens Pulver	TKO (punches)	WEC 36	1	1:12	Hollywood, Florida , United States
Win	11–3	Hiroyuki Takaya	KO (punch)	WEC 32	1	1:31	Albuquerque, New Mexico , United States
Loss	10–3	Cole Miller	Decision (unanimous)	UFC Fight Night: Thomas vs Florian	3	5:00	Las Vegas, Nevada , United States
Win	10–2	Allen Berube	Submission (rear-naked choke)	The Ultimate Fighter 5 Finale	1	4:22	Las Vegas, Nevada , United States
Loss	9–2	Roger Huerta	Decision (unanimous)	UFC 69	3	5:00	Houston, Texas , United States
Win	9–1	Rocky Johnson	Submission (rear-naked choke)	ROF 23: Impact	1	4:58	Castle Rock, Colorado , United States
Win	8–1	Justin James	Submission (rear-naked choke)	ROF 7: Meltdown	1	2:28	Denver, Colorado , United States
Win	7–1	Steve Horton	Submission (armbar)	ROF 4: Warriors	1	0:33	Denver, Colorado , United States
Win	6–1	Víctor Estrada	KO (head kick)	WEC 1	2	0:54	Lemoore, California , United States
Win	5–1	Jake Hattan	Submission (guillotine choke)	ROF 2: Trial By Fire	2	1:46	Denver, Colorado , United States
Win	4–1	Shawn Simpson	Submission (triangle choke)	ROF 2: Trial By Fire	1	0:32	Denver, Colorado , United States
Win	3–1	Brent Medley	Submission (triangle choke)	Unified Shoot Wrestling Federation 18	1	3:59	Amarillo, Texas , United States
Win	2–1	Puma Green	Submission (armbar)	Ring of Fire 1	1	2:15	Denver, Colorado , United States
Loss	1–1	Brent Medley	Decision	Unified Shoot Wrestling Federation 15	1	20:00	Dumas, Texas , United States
Win	1–0	Chris Cantrell	Submission (armbar)	Unified Shoot Wrestling Federation 15	1	1:28	Dumas, Texas , United States
