Season	Series	Team Name	Races	Wins	Poles	F/Laps	Podiums	Points	Final Placing
1998	French Formula Three	Signature Compétition	12	0	0	0	0	31	12th
1998	British Formula Three	Signature Compétition	1	0	0	0	0	0	NC
1998	Macau Grand Prix	Signature Compétition	1	0	0	0	0	N/A	NC
1999	French Formula Three	ASM	16	1	1	2	4	149	6th
1999	British Formula Three	ASM	1	0	0	0	0	0	NC
1999	Macau Grand Prix	ASM	1	0	0	0	0	N/A	NC
1999	Masters of Formula Three	ASM	1	0	0	0	0	N/A	29th
1999	Korea Super Prix	ASM	1	0	0	0	0	N/A	6th
1999	Le Mans 24 Hours	Paul Belmondo Racing (GTS)	1	0	0	0	0	N/A	6th
2000	French Formula Three	ASM	12	3	2	2	5	133	2nd
2000	British Formula Three	ASM	1	1	0	0	1	N/A	NC
2000	European Formula Three Cup	ASM	1	0	0	0	1	N/A	2nd
2000	Macau Grand Prix	ASM	1	0	0	0	0	N/A	9th
2000	Masters of Formula Three	ASM	1	0	0	0	0	N/A	11th
2000	Korea Super Prix	ASM	1	0	0	0	1	N/A	2nd
2001	French Formula Three	ASM	11	4	5	4	7	171	2nd
2001	European Formula Three Cup	ASM	1	0	0	0	0	N/A	NC
2001	Macau Grand Prix	ASM	1	0	0	0	0	N/A	13th
2001	Masters of Formula Three	ASM	1	0	0	0	0	N/A	5th
2001	Korea Super Prix	ASM	1	0	0	0	0	N/A	19th
2001	Le Mans 24 Hours	Larbre Compétition (GTS)	1	0	0	0	1	N/A	3rd
2002	International Formula 3000	Super Nova Racing	12	0	0	0	0	2	13th
2003	CART World Series	Fittipaldi-Dingman Racing	18	0	0	0	0	29	15th
2004	World Series by Nissan	Carlin Motorsport	18	5	4	2	9	135	2nd
2004	Formula One	Minardi Cosworth	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2005	Formula One	Jordan Grand Prix	19	0	0	0	1	7	16th
2006	Formula One	MF1 Racing/Spyker MF1 Racing	18	0	0	0	0	0	21st
2007	World Touring Car Championship	SEAT Sport	20	0	1	0	3	38	11th
2008	World Touring Car Championship	SEAT Sport	24	2	0	2	2	43	12th
2009	World Touring Car Championship	SEAT Sport	24	0	0	1	2	44	9th
2010	World Touring Car Championship	SR-Sport	22	2	1	1	5	177	5th
2010	V8Supercar Championship Series	Centaur Racing	2	0	0	0	0	N/A	NC
2011	World Touring Car Championship	SUNRED Engineering	24	0	1	0	3	117	6th
2012	World Touring Car Championship	Tuenti Racing Team Honda Racing Team JAS	24	0	0	0	1	98	9th
2013	World Touring Car Championship	Castrol Honda World Touring Car Team	17	0	0	1	2	102*	10th*
