Res.	Record	Opponent	Method	Round	Time	Location
Loss	21–9	Cub Swanson	TKO (punches)	3	2:24	Las Vegas, Nevada , United States
Win	21–8	Nam Phan	Decision (unanimous)	3	5:00	Seattle, Washington , United States
Win	20–8	Diego Nunes	Decision (unanimous)	3	5:00	Stockholm , Sweden
Loss	19–8	Donald Cerrone	Submission (rear-naked choke)	1	2:22	Las Vegas, Nevada , United States
Win	19–7	Matt Wiman	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Win	18–7	George Sotiropoulos	Decision (unanimous)	3	5:00	Sydney , Australia
Win	17–7	Andre Winner	Submission (rear-naked choke)	1	3:37	Oberhausen , Germany
Win	16–7	Spencer Fisher	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Loss	15–7	Ross Pearson	Decision (unanimous)	3	5:00	Charlotte, North Carolina , United States
Win	15–6	Paul Kelly	TKO (spinning back kick and punches)	2	2:53	Manchester , England
Win	14–6	Dale Hartt	Submission (rear-naked choke)	1	3:23	Cologne , Germany
Win	13–6	Nate Mohr	TKO (spinning back kick and punches)	3	3:27	Dublin , Ireland
Win	12–6	Chas Jacquier	Submission (guillotine choke)	1	4:21	Darmstadt , Germany
Loss	11–6	Melvin Guillard	TKO (punches)	1	0:36	Las Vegas, Nevada , United States
Loss	11–5	Gray Maynard	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Win	11–4	Naoyuki Kotani	KO (punch)	2	2:04	London , England
Loss	10–4	Jess Liaudin	Submission (armbar)	1	1:21	Manchester , England
Win	10–3	Jim Wallhead	Submission (armbar)	2	3:31	Nottingham , England
Win	9–3	Said Khalilov	Decision (split)	3	5:00	Koper , Slovenia
Win	8–3	Paul Jenkins	Submission (heel hook)	2	3:42	Koper , Slovenia
Loss	7–3	Daniel Weichel	Submission (rear-naked choke)	1	N/A	Darmstadt , Germany
Loss	7–2	Arni Isaksson	Submission (armbar)	2	4:23	Liverpool , England
Win	7–1	Adrian Degorski	Submission (armbar)	2	1:59	Liverpool , England
Win	6–1	Jonas Ericsson	TKO (punches)	1	0:35	Liverpool , England
Loss	5–1	Fabricio Nascimento	Submission (kimura)	1	0:47	Sweden
Win	5–0	Maciej Luczak	Submission (strikes)	2	N/A	Germany
Win	4–0	Dylan van Kooten	Submission (choke)	1	N/A	Düsseldorf , Germany
Win	3–0	Kenneth Rosfort-Nees	TKO (cut)	1	5:00	Stockholm , Sweden
Win	2–0	Mohamed Omar	Decision (unanimous)	3	5:00	Trier , Germany
Win	1–0	Kordian Szukala	Submission (strikes)	1	0:17	Lübbecke , Germany
