Date	Opponent	Score	Loss	Time	Att.	Record
May 1	@ Rangers	6-3 (10)	Zimmerman (1-2)	3:01	25,638	9-15
May 2	@ Rangers	8-4	Oliver (4-1)	3:00	33,825	10-15
May 3	@ Rangers	9-4	Helling (1-5)	2:48	34,051	11-15
May 4	@ Angels	7-5	Murray (0-1)	3:16	36,690	11-16
May 5	@ Angels	11-2	Ortiz (3-3)	2:49	24,758	12-16
May 6	@ Angels	3-2	Patterson (2-1)	2:56	29,353	12-17
May 8	Rangers	5-4	Crabtree (0-1)	3:36	21,662	13-17
May 9	Rangers	3-2	Davis (2-3)	2:55	17,933	14-17
May 10	Rangers	6-5	Zimmerman (1-3)	2:56	25,306	15-17
May 11	Angels	7-6	Lukasiewicz (0-1)	4:17	18,811	16-17
May 12	Angels	4-1	Hasegawa (1-3)	2:53	22,133	17-17
May 13	Angels	14-2	Holt (3-3)	3:16	20,012	17-18
May 15	@ Orioles	11-3	Mlicki (3-3)	3:07	33,853	17-19
May 16	@ Orioles	3-2	Weaver (3-5)	2:24	27,722	17-20
May 17	@ Orioles	7-5	Roberts (4-3)	2:52	27,508	18-20
May 18	@ Devil Rays	18-2	Sturtze (1-3)	3:00	12,131	19-20
May 19	@ Devil Rays	10-5	Lopez (3-4)	2:59	13,304	20-20
May 20	@ Devil Rays	10-2	Mlicki (3-4)	2:39	13,512	20-21
May 22	@ Indians	3-0	Colón (4-4)	3:00	35,362	21-21
May 23	@ Indians	4-3	Borkowski (0-1)	3:11	36,804	21-22
May 24	@ Indians	8-5	Santos (1-1)	3:10	36,295	21-23
May 25	White Sox	8-4	Jones (2-3)	3:08	21,053	21-24
May 26	White Sox	8-0	Mlicki (3-5)	2:39	25,881	21-25
May 27	White Sox	3-2	Patterson (3-2)	3:55	17,355	21-26
May 28	Indians	12-6	Finley (4-4)	2:56	24,615	22-26
May 29	Indians	6-4	Murray (0-2)	3:20	21,404	22-27
May 30	Indians	8-4	Holt (4-4)	3:31	18,359	22-28
May 31	@ White Sox	Postponed (rain) Rescheduled for September 4	Postponed (rain) Rescheduled for September 4	Postponed (rain) Rescheduled for September 4	Postponed (rain) Rescheduled for September 4	Postponed (rain) Rescheduled for September 4
