Round	Pick	Player	Nationality	College/Junior/Club team
1	4.	Paul Kariya ( LW )	Canada	University of Maine ( Hockey East )
2	30.	Nikolai Tsulygin ( D )	Russia	Salavat Yulayev Ufa (Russia)
3	56.	Valeri Karpov ( RW )	Russia	Traktor Chelyabinsk (Russia)
4	82.	Joel Gagnon ( G )	Canada	Oshawa Generals ( OHL )
5	108.	Mikhail Shtalenkov ( G )	Russia	Milwaukee Admirals ( IHL )
6	134.	Antti Aalto ( C )	Finland	TPS Turku (Finland)
7	160.	Matt Peterson ( D )	United States	Osseo Orioles (High-MN)
8	186.	Tom Askey ( G )	United States	Ohio State University (CCHA)
9	212.	Vitaly Kozel ( C )	Belarus	Minsk (Russia)
10	238.	Anatoli Fedotov ( D )	Russia	Krylia Sovetov (Russia)
11	264.	David Penney ( LW )	United States	Worcester Academy (High-MA)
