Date	Site	Sport	Winning team	Series
September 4, 2007	Cedar Rapids	M Golf	Iowa State	Iowa State 2–0
September 8, 2007	Des Moines	Volleyball	Iowa State	Iowa State 4–0
September 9, 2007	Iowa City	W Soccer	Tie	Iowa State 5–1
September 15, 2007	Ames	Football	Iowa State	Iowa State 8–1
November 10, 2007	Peoria	M Cross Country	Iowa State	Iowa State 10–1
November 10, 2007	Peoria	W Cross Country	Iowa	Iowa State 10–3
December 5, 2007	Ames	W Basketball	Iowa State	Iowa State 12–3
December 7, 2007	Ames	W Swimming	Iowa State	Iowa State 14–3
December 8, 2007	Ames	M Basketball	Iowa State	Iowa State 16–3
December 9, 2007	Ames	Wrestling	Iowa	Iowa State 16–5
February 22, 2008	Ames	W Gymnastics	Iowa State	Iowa State 18–5
March 7, 2008	Iowa City	W Gymnastics	Iowa	Iowa State 18–7
April 1, 2008	Ames	Softball	Iowa	Iowa State 18–9
