Abbr	Common English	French	Italian	Romansh
AG	Aargau	Argovie	Argovia	Argovia
AI	Appenzell Innerrhoden	Appenzell Rhodes-Intérieures	Appenzello Interno	Appenzell dadens
AR	Appenzell Ausserrhoden	Appenzell Rhodes-Extérieures	Appenzello Esterno	Appenzell dador
BS	Basel-Stadt	Bâle-Ville	Basilea-Città	Basilea-Citad
BL	Basel-Landschaft	Bâle-Campagne	Basilea-Campagna	Basilea-Champagna
BE	Bern	Berne	Berna	Berna
FR	Fribourg	Fribourg	Friborgo	Friburg
GE	Geneva	Genève	Ginevra	Genevra
GL	Glarus	Glaris	Glarona	Glaruna
GR	Graubünden	Grisons	Grigioni	Grischun
JU	Jura	Jura	Giura	Giura
LU	Lucerne	Lucerne	Lucerna	Lucerna
NE	Neuchâtel	Neuchâtel	Neuchâtel	Neuchâtel
NW	Nidwalden	Nidwald	Nidvaldo	Sutsilvania
OW	Obwalden	Obwald	Obvaldo	Sursilvania
SH	Schaffhausen	Schaffhouse	Sciaffusa	Schaffusa
SZ	Schwyz	Schwyz (or Schwytz)	Svitto	Sviz
SO	Solothurn	Soleure	Soletta	Soloturn
SG	St. Gallen	Saint-Gall	San Gallo	Son Gagl
TG	Thurgau	Thurgovie	Turgovia	Turgovia
TI	Ticino	Tessin	Ticino	Tessin
UR	Uri	Uri	Uri	Uri
VS	Valais	Valais	Vallese	Vallais
VD	Vaud	Vaud	Vaud	Vad
ZG	Zug	Zoug	Zugo	Zug
ZH	Zurich	Zurich	Zurigo	Turitg
