Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 2	@ Philadelphia	W 95–88 (OT)	Donyell Marshall (27)	Chris Bosh (11)	Vince Carter (12)	Wachovia Center 17,899	9–8
18	December 3	Boston	W 105–95 (OT)	Vince Carter , Donyell Marshall (21)	Lonny Baxter (9)	Vince Carter (10)	Air Canada Centre 18,552	10–8
19	December 5	Atlanta	W 92–87 (OT)	Vince Carter , Jalen Rose (22)	Jalen Rose (8)	Jalen Rose (10)	Air Canada Centre 17,559	11–8
20	December 7	Seattle	W 108–98 (OT)	Vince Carter (30)	Chris Bosh (16)	Jalen Rose (10)	Air Canada Centre 17,779	12–8
21	December 9	@ Cleveland	W 100–93 (OT)	Vince Carter (22)	Vince Carter (8)	Vince Carter (7)	Gund Arena 16,939	13–8
22	December 12	@ Boston	L 111–114 (OT)	Vince Carter (35)	Donyell Marshall (9)	Jalen Rose (14)	FleetCenter 15,003	13–9
23	December 14	Miami	L 89–90 (OT)	Donyell Marshall (25)	Chris Bosh (10)	Alvin Williams (9)	Air Canada Centre 17,950	13–10
24	December 15	@ Dallas	L 94–111 (OT)	Vince Carter (21)	Lonny Baxter (10)	Vince Carter (5)	American Airlines Center 19,846	13–11
25	December 17	@ San Antonio	L 70–73 (OT)	Donyell Marshall (19)	Donyell Marshall (14)	Alvin Williams (7)	SBC Center 16,375	13–12
26	December 19	New York	W 105–99 (OT)	Jalen Rose (21)	Donyell Marshall (19)	Vince Carter (8)	Air Canada Centre 19,233	14–12
27	December 21	Orlando	L 93–104 (OT)	Donyell Marshall (19)	Donyell Marshall (19)	Alvin Williams (8)	Air Canada Centre 19,800	14–13
28	December 26	@ Utah	L 94–97 (OT)	Vince Carter (30)	Chris Bosh , Vince Carter (7)	Jalen Rose (8)	Delta Center 19,639	14–14
29	December 28	@ L.A. Clippers	W 94–88 (OT)	Jalen Rose (23)	Donyell Marshall (9)	Vince Carter (5)	Staples Center 14,311	15–14
30	December 30	@ Denver	W 81–74 (OT)	Jalen Rose , Alvin Williams (17)	Donyell Marshall (13)	Alvin Williams (6)	Pepsi Center 19,099	16–14
