Institution	Wins	Loss	Home Wins	Home Losses	Away Wins	Away Losses	Neutral Wins	Neutral Losses
Boston College Eagles	6	1	3	1	3	0	0	0
Clemson Tigers	9	5	4	3	5	2	0	0
Duke Blue Devils	12	2	5	0	3	2	4	0
Florida State Seminoles	6	8	4	3	2	5	0	0
Georgia Tech Yellow Jackets	4	9	3	2	1	6	0	1
Maryland Terrapins	10	4	5	1	4	1	1	2
Miami Hurricanes	2	4	2	1	0	3	0	0
North Carolina Tar Heels	7	7	3	3	2	4	2	0
NC State Wolfpack	5	8	4	2	1	6	0	0
Notre Dame Fighting Irish	0	0	0	0	0	0	0	0
Pitt Panthers	0	0	0	0	0	0	0	0
Syracuse Orange	0	0	0	0	0	0	0	0
Virginia Cavaliers	8	5	5	1	3	4	0	0
Virginia Tech Hokies	3	5	2	2	1	3	0	0
Wake Forest Demon Deacons	10	3	6	1	4	2	0	0
Overall	82	61	46	20	29	38	7	3
