Season	Competition	Round	Club	Home	Away
2006–07	UEFA Cup	First round	Lokomotiv Moscow	2–0	1–2
2006–07	UEFA Cup	Group F	Austria Wien	–	4–1
2006–07	UEFA Cup	Group F	Sparta Prague	3–1	–
2006–07	UEFA Cup	Group F	Espanyol	–	2–6
2006–07	UEFA Cup	Group F	Ajax	0–3	–
2006–07	UEFA Cup	Round of 32	Newcastle United	1–3	0–1
2013–14	UEFA Champions League	Third qualifying round	PSV Eindhoven	0–3	0–2
2013–14	UEFA Europa League	Play-off round	APOEL	1–1	2–1
2013–14	UEFA Europa League	Group D	Maribor	1–3	–
2013–14	UEFA Europa League	Group D	Rubin Kazan	–	0–4
2013–14	UEFA Europa League	Group D	Wigan Athletic	0–0	–
