Player	Position	Date of Birth (Age)	Caps	Province / Club
Curtis Wolstenholme	Prop	Example	4	Example
Sam Walters	Prop	Example	Example	Example
Aaron Salmon	Prop	Example	Example	Example
Darshan Goonetilleke	Prop	Example	Example	Example
Aaron Palmer	Lock	19 August	6	DRFC
Shane Kelly	Hooker	Example	Example	Example
Luke Godley	Hooker	Example	Example	Example
Gavin Piek	Lock	13 January 1975	6	DRFC
Mark Spencer	Lock	Example	Example	Example
Trent Webb	Backrow	Example	Example	Example
Wade Quinn	Backrow	Example	Example	Example
Tom Featherstone	Backrow	12 March 1990	6	DRFC
Mark Hibbs	Backrow	14 July	4	DRFC
Duncan Fairley	Scrumhlaf	Example	Example	Example
Dave Burness	Scrumhalf	Example	Example	Example
Paul Beard	Flyhalf	4	Example	Example
Liam Frost	Center (C)	3 May	4	DRFC
Lilian Cance	Center	27 September 1984	4	DRFC
Daniel Liddell	Center	Example	Example	Example
Jaco De Jager	Wing	Example	Example	Example
Mubarak Al Malik	Wing	4	Example	Example
Abdulkareem Al Muhannadi	Wing	Example	Example	Example
Jim Hamilton	Fullback	Example	Example	Example
Adam Beadon	Fullback	3 April 1984	Example	DRFC
Michael Elumeze	Backrow	Example	Example	Example
Jamie Frost	Backrow	Example	2	DRFC
