NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
6601	Galaxy	Draco	18h11m44.3s	°27′12″
6602	Galaxy	Hercules	18h16m34.3s	°02′39″
6603	Open cluster	Sagittarius	18h18m	°26′
6604	Cluster w/nebulosity	Serpens Cauda	18h18m02.9s	°14′35″
6605	Open cluster	Serpens Cauda	18h16m21.7s	°00′55″
6606	Galaxy	Lyra	18h14m41.6s	°43′16″
6607	Galaxy	Draco	18h12m14.7s	°61′19″
6608	Galaxy	Draco	18h12m28.9s	°61′17″
6609	Galaxy	Draco	18h12m33.6s	°61′19″
6610	Galaxy	Hercules	18h11m51.2s	°58′54″
6611	Open cluster	Serpens	18h19m	°49′
6612	Galaxy	Lyra	18h16m10.8s	°36′04″
6613	Open cluster	Sagittarius	18h20m	°06′
6614	Galaxy	Pavo	18h25m07.7s	°14′51″
6615	Galaxy	Ophiuchus	18h18m33.5s	°15′54″
6616	Galaxy	Hercules	18h17m41.1s	°14′18″
6617	Galaxy	Draco	18h14m02.5s	°19′10″
6618	Open cluster	Sagittarius	18h20m26s	°11′
6619	Galaxy	Hercules	18h18m55.5s	°39′20″
6620	Planetary nebula	Sagittarius	18h22m54.1s	°99′18″
6621	Galaxy	Draco	18h12m55.3s	°21′48″
6622	Galaxy	Draco	18h12m59.8s	°21′14″
6623	Galaxy	Hercules	18h19m42.9s	°42′20″
6624	Globular cluster	Sagittarius	18h23m40.7s	°21′39″
6625	Open cluster	Scutum	18h23m02.0s	°01′26″
6626	Globular cluster	Sagittarius	18h24m32.9s	°52′11″
6627	Galaxy	Hercules	18h22m38.9s	°15′41″
6628	Galaxy	Hercules	18h22m21.9s	°23′28″
6629	Planetary nebula	Sagittarius	18h25m42.4s	°12′10″
6630	Galaxy	Pavo	18h32m35.1s	°17′36″
6631	Open cluster	Scutum	18h27m11.3s	°01′52″
6632	Galaxy	Hercules	18h25m03.1s	°27′32″
6633	Open cluster	Ophiuchus	18h27m31.2s	°34′12″
6634	Globular cluster	Sagittarius	18h31m23.2s	°20′53″
6635	Galaxy	Hercules	18h27m37.1s	°14′49″
6636	Galaxy	Draco	18h22m03.9s	°66′37″
6637	Globular cluster	Sagittarius	18h31m23.2s	°20′53″
6638	Globular cluster	Sagittarius	18h30m56.2s	°29′47″
6639	Open cluster	Scutum	18h30m59.3s	°09′21″
6640	Galaxy	Lyra	18h28m08.3s	°34′18″
6641	Galaxy	Hercules	18h28m57.4s	°22′54″
6642	Globular cluster	Sagittarius	18h31m54.2s	°28′34″
6643	Galaxy	Draco	18h19m46.4s	°74′34″
6644	Planetary nebula	Sagittarius	18h32m34.7s	°07′44″
6645	Open cluster	Sagittarius	18h32m37.9s	°53′02″
6646	Galaxy	Lyra	18h29m38.7s	°39′51″
6647	Open cluster	Sagittarius	18h32m49.3s	°13′43″
6648	Double star	Draco	18h25m37.8s	°64′58″
6649	Open cluster	Scutum	18h33m27.9s	°24′10″
6650	Galaxy	Draco	18h25m28.0s	°68′00″
6651	Galaxy	Draco	18h24m19.7s	°71′36″
6652	Globular cluster	Sagittarius	18h35m45.7s	°59′25″
6653	Galaxy	Pavo	18h44m38.4s	°15′48″
6654	Galaxy	Draco	18h24m07.6s	°73′11″
6655	Double star	Scutum	18h34m30.9s	°55′15″
6656	Globular cluster	Sagittarius	18h36m24.2s	°54′12″
6681	Globular cluster	Sagittarius	18h43m12.6s	°17′31″
6694	Open cluster	Scutum	18h45m	°23′
