Week	Date	Opponent	Result	Attendance
1	September 15, 1968	at New Orleans Saints	W 24–10	74,215
2	September 22, 1968	at Dallas Cowboys	L 28–7	68,733
3	September 29, 1968	Los Angeles Rams	L 24–6	82,514
4	October 5, 1968	Pittsburgh Steelers	W 31–24	81,865
5	October 13, 1968	St. Louis Cardinals	L 27–21	79,349
6	October 20, 1968	at Baltimore Colts	W 30–20	60,238
7	October 27, 1968	Atlanta Falcons	W 30–7	67,723
8	November 3, 1968	at San Francisco 49ers	W 33–21	31,359
9	November 10, 1968	New Orleans Saints	W 35–17	71,025
10	November 17, 1968	at Pittsburgh Steelers	W 45–24	41,572
11	November 24, 1968	Philadelphia Eagles	W 47–13	62,338
12	December 1, 1968	New York Giants	W 45–10	83,193
13	December 8, 1968	at Washington Redskins	W 24–21	50,661
14	December 14, 1968	St. Louis Cardinals	L 27–16	39,746
