Week	Date	Opponent	Result	Attendance
1	September 10, 1967	New York Jets	W 20–17	45,748
2	September 17, 1967	Houston Oilers	L 20–3	41,384
3	September 24, 1967	Boston Patriots	L 23–0	45,748
4	October 1, 1967	San Diego Chargers	L 37–17	39,310
5	October 8, 1967	at Denver Broncos	W 17–16	35,188
6	October 15, 1967	at Oakland Raiders	L 24-20	45,758
7	Bye	Bye	Bye	Bye
8	October 29, 1967	at Houston Oilers	L 10–3	30,060
9	November 5, 1967	Miami Dolphins	W 35–13	31,622
10	November 12, 1967	at New York Jets	L 20–10	62,671
11	November 19, 1967	Denver Broncos	L 21–20	30,891
12	November 26, 1967	at Miami Dolphins	L 17–14	27,050
13	December 3, 1967	at Kansas City Chiefs	L 23–13	41,943
14	December 9, 1967	at Boston Patriots	W 44–16	20,627
15	Bye	Bye	Bye	Bye
16	December 24, 1967	at Oakland Raiders	L 28–21	30,738
