Week	Date	Opponent	Result	Attendance
1	September 5, 1993	at Chicago Bears	W 26–20	66,900
2	September 12, 1993	Tampa Bay Buccaneers	W 23–7	75,891
3	September 19, 1993	Los Angeles Rams	W 20–10	76,213
4	Bye	Bye	Bye	Bye
5	October 3, 1993	at Buffalo Bills	L 17–14	79,283
6	October 10, 1993	at Washington Redskins	W 41–7	53,715
7	October 17, 1993	Philadelphia Eagles	W 21–10	76,050
8	Bye	Bye	Bye	Bye
9	October 31, 1993	New York Jets	L 10–6	71,659
10	November 7, 1993	at Dallas Cowboys	L 31–9	64,735
11	November 14, 1993	Washington Redskins	W 20–6	76,606
12	November 21, 1993	at Philadelphia Eagles	W 7–3	62,928
13	November 28, 1993	Phoenix Cardinals	W 19–17	59,979
14	December 5, 1993	at Miami Dolphins	W 19–14	72,161
15	December 12, 1993	Indianapolis Colts	W 20–6	70,411
16	December 20, 1993	at New Orleans Saints	W 24–14	69,036
17	December 26, 1993	at Phoenix Cardinals	L 17–6	53,414
18	January 2, 1994	Dallas Cowboys	L 16–13	77,356
