1953	party	Manhattan	The Bronx	Brooklyn	Queens	Richmond [Staten Is.]	Total	%
Robert F. Wagner, Jr.	Democratic	236,960	206,771	339,970	207,918	31,007	1022626	45.6%
Robert F. Wagner, Jr.	Democratic	47.9%	46.2%	46.6%	40.6%	51.8%	1022626	45.6%
Harold Riegelman	Republican	147,876	97,224	183,968	208,829	23,694	661591	29.5%
Harold Riegelman	Republican	29.9%	21.7%	25.2%	40.8%	39.6%	661591	29.5%
Rudolph Halley	Liberal	76,884	112,825	162,275	73,192	3,514	428690	19.1%
Rudolph Halley	Independent	7,648	9,853	13,264	7,356	295	38416	1.7%
Rudolph Halley	Total	84,532	122,678	175,539	80,548	3,809	467106	20.8%
Rudolph Halley	Total	17.1%	27.4%	24.1%	15.7%	6.4%	467106	20.8%
Clifford T. McAvoy	American Labor Party	14,904	13,290	17,337	7,182	332	53045	2.4%
David L. Weiss	Socialist Workers	10,683	7,760	13,062	7,254	1,019	2054	0.1%
Nathan Karp	Industrial Gov't [SLP ]	10,683	7,760	13,062	7,254	1,019	916	.04%
scattered	scattered	10,683	7,760	13,062	7,254	1,019	180	.01%
unrecorded (blank, spoiled, etc.)	unrecorded (blank, spoiled, etc.)	10,683	7,760	13,062	7,254	1,019	36630	1.6%
