Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 12	Mercedes Championships	California	Tiger Woods (3)	202 (–14)	216,000
Jan 19	Bob Hope Chrysler Classic	California	John Cook (9)	327 (–33)	270,000
Jan 26	Phoenix Open	Arizona	Steve Jones (6)	258 (–26)	270,000
Feb 2	AT&T Pebble Beach National Pro-Am	California	Mark O'Meara (13)	268 (–20)	342,000
Feb 9	Buick Invitational	California	Mark O'Meara (14)	275 (–13)	270,000
Feb 16	United Airlines Hawaiian Open	Hawaii	Paul Stankowski (2)	271 (–17)	216,000
Feb 23	Tucson Chrysler Classic	Arizona	Jeff Sluman (2)	275 (–13)	234,000
Mar 2	Nissan Open	California	Nick Faldo (9)	272 (–12)	252,000
Mar 9	Doral-Ryder Open	Florida	Steve Elkington (7)	275 (–13)	324,000
Mar 16	Honda Classic	Florida	Stuart Appleby (1)	274 (–14)	270,000
Mar 23	Bay Hill Invitational	Florida	Phil Mickelson (10)	272 (–16)	270,000
Mar 30	The Players Championship	Florida	Steve Elkington (8)	272 (–16)	630,000
Apr 6	Freeport-McDermott Classic	Louisiana	Brad Faxon (4)	272 (–16)	270,000
Apr 13	Masters Tournament	Georgia	Tiger Woods (4)	270 (–18)	486,000
Apr 20	MCI Classic	South Carolina	Nick Price (16)	269 (–15)	270,000
Apr 27	Greater Greensboro Chrysler Classic	North Carolina	Frank Nobilo (1)	274 (–14)	342,000
May 4	Shell Houston Open	Texas	Phil Blackmar (3)	276 (–12)	288,000
May 11	BellSouth Classic	Georgia	Scott McCarron (2)	274 (–14)	270,000
May 18	GTE Byron Nelson Golf Classic	Texas	Tiger Woods (5)	263 (–17)	324,000
May 25	MasterCard Colonial	Texas	David Frost (10)	265 (–15)	288,000
Jun 2	Memorial Tournament	Ohio	Vijay Singh (4)	202 (–14)	342,000
Jun 8	Kemper Open	Maryland	Justin Leonard (2)	274 (–10)	270,000
Jun 15	U.S. Open	Maryland	Ernie Els (4)	276 (–4)	465,000
Jun 22	Buick Classic	New York	Ernie Els (5)	268 (–16)	270,000
Jun 29	FedEx St. Jude Classic	Tennessee	Greg Norman (19)	268 (–16)	270,000
Jul 6	Motorola Western Open	Illinois	Tiger Woods (6)	275 (–13)	360,000
Jul 13	Quad City Classic	Illinois	David Toms (1)	265 (–15)	243,000
Jul 20	Deposit Guaranty Golf Classic	Mississippi	Billy Ray Brown (3)	271 (–17)	180,000
Jul 20	British Open	Scotland	Justin Leonard (3)	272 (–12)	418,875
Jul 27	Canon Greater Hartford Open	Connecticut	Stewart Cink (1)	267 (–13)	270,000
Aug 3	Sprint International	Colorado	Phil Mickelson (11)	48 ( Stableford )	306,000
Aug 10	Buick Open	Michigan	Vijay Singh (5)	273 (–15)	270,000
Aug 17	PGA Championship	New York	Davis Love III (11)	269 (–11)	470,000
Aug 24	NEC World Series of Golf	Ohio	Greg Norman (20)	273 (–7)	396,000
Aug 24	Greater Vancouver Open	Canada	Mark Calcavecchia (9)	265 (–19)	270,000
Aug 31	Greater Milwaukee Open	Wisconsin	Scott Hoch (8)	268 (–16)	234,000
Sep 7	Bell Canadian Open	Canada	Steve Jones (7)	275 (–5)	270,000
Sep 14	CVS Charity Classic	Massachusetts	Loren Roberts (5)	266 (–18)	216,000
Sep 21	LaCantera Texas Open	Texas	Tim Herron (2)	271 (–17)	252,000
Sep 28	B.C. Open	New York	Gabriel Hjertstedt (1)	275 (–13)	234,000
Oct 5	Buick Challenge	Georgia	Davis Love III (12)	267 (–21)	216,000
Oct 12	Michelob Championship at Kingsmill	Virginia	David Duval (1)	271 (–13)	279,000
Oct 19	Walt Disney World/Oldsmobile Classic	Florida	David Duval (2)	270 (–18)	270,000
Oct 26	Las Vegas Invitational	Nevada	Bill Glasson (7)	340 (–20)	324,000
Nov 2	The Tour Championship	Texas	David Duval (3)	273 (–11)	720,000
