Province	Provincial capital	Commandery	Commandery capital	No. of counties
Yang 揚	Jianye 建業	Danyang 丹陽	Jianye 建業	16
Yang 揚	Jianye 建業	Wu 吳	Wu County 吳縣	10
Yang 揚	Jianye 建業	Qichun 蘄春	Qichun 蘄春	2
Yang 揚	Jianye 建業	Kuaiji 會稽	Shanyin County 山陰縣	10
Yang 揚	Jianye 建業	Yuzhang 豫章	Nanchang 南昌	16
Yang 揚	Jianye 建業	Lujiang 廬江	Wan County 皖縣	2
Yang 揚	Jianye 建業	Luling 廬陵	Gaochang County 高昌縣	10
Yang 揚	Jianye 建業	Poyang 鄱陽	Poyang County 鄱陽縣	9
Yang 揚	Jianye 建業	Xindu 新都	Shixin County 始新縣	6
Yang 揚	Jianye 建業	Linchuan 臨川	Nancheng County 南城縣	10
Yang 揚	Jianye 建業	Linhai 臨海	Zhang'an County 章安縣	7
Yang 揚	Jianye 建業	Jian'an 建安	Jian'an County 建安縣	9
Yang 揚	Jianye 建業	Wuxing 吳興	Wucheng County 烏程縣	9
Yang 揚	Jianye 建業	Dongyang 東陽	Changshan County 長山縣	9
Yang 揚	Jianye 建業	Piling 毗陵典農校尉	Piling County 毗陵縣	3
Yang 揚	Jianye 建業	South Luling 廬陵南部都尉	Yudu County 雩都縣	6
Jing 荊	Jiangling 江陵	Nan 南	Jiangling 江陵	9
Jing 荊	Jiangling 江陵	Wuling 武陵	Linyuan County 臨沅縣	11
Jing 荊	Jiangling 江陵	Lingling 零陵	Quanling County 泉陵縣	10
Jing 荊	Jiangling 江陵	Guiyang 桂陽	Chen County 郴縣	6
Jing 荊	Jiangling 江陵	Changsha 長沙	Linxiang County 臨湘縣	10
Jing 荊	Jiangling 江陵	Wuchang 武昌	Wuchang County 武昌縣	6
Jing 荊	Jiangling 江陵	Ancheng 安成	Ancheng County 安成縣	6
Jing 荊	Jiangling 江陵	Pengze 彭澤	Pengze County 彭澤縣	4
Jing 荊	Jiangling 江陵	Yidu 宜都	Yidao County 夷道縣	3
Jing 荊	Jiangling 江陵	Linhe 臨賀	Linhe County 臨賀縣	6
Jing 荊	Jiangling 江陵	Hengyang 衡陽	Xiangnan County 湘南縣	10
Jing 荊	Jiangling 江陵	Xiangdong 湘東	Ling County 酃縣	6
Jing 荊	Jiangling 江陵	Jianping 建平	Wu County 巫縣	6
Jing 荊	Jiangling 江陵	Tianmen 天門	Lüzhong County 漊中縣	3
Jing 荊	Jiangling 江陵	Zhaoling 昭陵	Zhaoling County 昭陵縣	5
Jing 荊	Jiangling 江陵	Shi'an 始安	Shi'an County 始安縣	7
Jing 荊	Jiangling 江陵	Shixing 始興	Qujiang County 曲江縣	7
Guang 廣	Panyu 番禺	Nanhai 南海	Panyu County 番禺縣	6
Guang 廣	Panyu 番禺	Cangwu 蒼梧	Guangxin County 廣信縣	11
Guang 廣	Panyu 番禺	Yulin 鬱林	Bushan County 布山縣	9
Guang 廣	Panyu 番禺	Gaoliang 高涼	Siping County 思平縣	3
Guang 廣	Panyu 番禺	Gaoxing 高興	Guanghua County 廣化縣	5
Guang 廣	Panyu 番禺	Guilin 桂林	Wu'an County 武安縣	6
Guang 廣	Panyu 番禺	North Hepu 合浦北部尉	Anguang County 安廣縣	3
Jiao 交	Longbian 龍編	Jiaozhi 交阯	Longbian 龍編	14
Jiao 交	Longbian 龍編	Rinan 日南	Zhuwu 朱吾	5
Jiao 交	Longbian 龍編	Jiuzhen 九真	Xupu 胥浦	6
Jiao 交	Longbian 龍編	Hepu 合浦	Hepu County 合浦縣	5
Jiao 交	Longbian 龍編	Wuping 武平	Wuning 武寧	7
Jiao 交	Longbian 龍編	Jiude 九德	Jiude 九德	6
Jiao 交	Longbian 龍編	Xinchang 新昌	Jianing 嘉寧	4
