Number (map)	Borough	Population Canada 2011 Census	Area in km²	Density per km²
1.	Ahuntsic-Cartierville	126,891	24.2	5,252.1
2.	Anjou	41,928	13.7	3,064.9
3.	Côte-des-Neiges–Notre-Dame-de-Grâce	165,031	21.4	7,697.3
4.	Lachine	41,616	17.7	2,348.5
5.	LaSalle	74,276	16.3	4,565.2
6.	Le Plateau-Mont-Royal	100,390	8.1	12,348.1
7.	Le Sud-Ouest	71,546	15.7	4,562.9
8.	L'Île-Bizard–Sainte-Geneviève	18,097	23.6	766.8
9.	Mercier–Hochelaga-Maisonneuve	131,483	25.4	5,174.5
10.	Montréal-Nord	83,868	11.1	7,589.9
11.	Outremont	23,566	3.9	6,121.0
12.	Pierrefonds-Roxboro	68,410	27.1	2,528.1
13.	Rivière-des-Prairies–Pointe-aux-Trembles	106,437	42.3	2,517.4
14.	Rosemont–La Petite-Patrie	134,038	15.9	8,456.7
15.	Saint-Laurent	93,842	42.8	2,194.1
16.	Saint-Léonard	75,707	13.5	5,612.1
17.	Verdun	66,158	9.7	6,809.9
18.	Ville-Marie	84,013	16.5	5,085.5
19.	Villeray–Saint-Michel–Parc-Extension	142,222	16.5	8,624.7
