Preseason	Week 1 Aug 26	Week 2 Sept 2	Week 3 Sept 8	Week 4 Sept 15	Week 5 Sept 22	Week 6 Sept 29	Week 7 Oct 6	Week 8 Oct 13	Week 9 Oct 20	Week 10 Oct 27	Week 11 Nov 3	Week 12 Nov 10	Week 13 Nov 17	Week 14 Nov 24	Week 15 Dec 1	Week 16 Dec 8	Week 17 (Final) Jan 4
Miami (FL) (27)	Miami (FL) (0-0) (27) т	Miami (FL) (1-0) (34)	Miami (FL) (2-0) (68)	Miami (FL) (3-0) (68)	Miami (FL) (4-0) (69)	Miami (FL) (4-0) (71)	Miami (FL) (5-0) (73)	Miami (FL) (6-0) (65)	Miami (FL) (6-0) (61)	Miami (FL) (7-0) (59)	Oklahoma (8-0) (42)	Miami (FL) (9-0) (74)	Miami (FL) (9-0) (74)	Miami (FL) (10-0) (71)	Miami (FL) (11-0) (73)	Miami (FL) (12-0) (74)	Ohio State (14-0) (71)
Oklahoma (21)	Oklahoma (0-0) (27) т	Oklahoma (1-0) (21)	Oklahoma (2-0) (3)	Oklahoma (3-0) (3)	Oklahoma (3-0) (3)	Texas (4-0) (2)	Oklahoma (5-0)	Oklahoma (6-0) (9)	Oklahoma (7-0) (13)	Oklahoma (7-0) (14)	Miami (FL) (8-0) (32)	Ohio State (11-0)	Ohio State (12-0)	Ohio State (13-0) (2)	Ohio State (13-0)	Ohio State (13-0)	Miami (FL) (12-1)
Florida State (10)	Texas (0-0) (13)	Texas (1-0) (10)	Texas (1-0) (3)	Texas (2-0) (3)	Texas (3-0) (2)	Oklahoma (4-0) (1)	Texas (5-0) (1)	Virginia Tech (6-0)	Virginia Tech (7-0)	Virginia Tech (8-0)	Ohio State (10-0)	Washington State (9-1)	Washington State (9-1)	Oklahoma (10-1)	Iowa (11-1)	Iowa (11-1)	Georgia (13-1)
Texas (13)	Tennessee (0-0) (3)	Tennessee (1-0) (5)	Tennessee (2-0)	Tennessee (2-0)	Florida State (4-0)	Virginia Tech (5-0)	Virginia Tech (5-0)	Ohio State (7-0)	Ohio State (8-0)	Notre Dame (8-0) (1)	Texas (8-1)	Oklahoma (8-1) т	Oklahoma (9-1)	Iowa (11-1)	Georgia (11-1)	Georgia (12-1)	USC (11-2)
Tennessee (3)	Florida State (1-0) (4)	Florida State (2-0) (4)	Florida State (2-0)	Florida State (3-0)	Virginia Tech (4-0)	Ohio State (5-0)	Ohio State (6-0)	Georgia (6-0)	Georgia (7-0)	Georgia (8-0)	Washington State (8-1)	Texas (8-1) т	Iowa (11-1)	Georgia (10-1)	USC (10-2)	USC (10-2)	Oklahoma (11-2)
Florida	Florida (0-0)	Florida (1-0)	Ohio State (2-0)	Ohio State (3-0)	Ohio State (4-0)	Florida (4-1)	Georgia (5-0)	Oregon (6-0)	Notre Dame (7-0)	Ohio State (9-0)	Iowa (9-1)	Iowa (10-1)	Georgia (10-1)	USC (9-2)	Kansas State (10-2)	Kansas State (10-2)	Texas (11-2)
Colorado	Colorado (0-0)	Michigan (1-0)	Michigan (2-0)	Virginia Tech (3-0)	Florida (3-1)	Georgia (4-0)	Oregon (5-0)	Notre Dame (6-0)	Texas (6-1)	Texas (7-1)	Georgia (8-1)	Georgia (9-1)	USC (8-2)	Notre Dame (10-1)	Washington State (9-2)	Washington State (10-2)	Kansas State (11-2)
Georgia	Georgia (0-0)	Ohio State (1-0)	Nebraska (3-0)	Georgia (2-0)	Georgia (3-0)	Oregon (4-0)	Notre Dame (5-0)	Texas (5-1)	Michigan (6-1)	Washington State (7-1)	Virginia Tech (8-1)	USC (7-2)	Notre Dame (9-1)	Kansas State (10-2)	Oklahoma (10-2)	Oklahoma (11-2)	Iowa (11-2)
Washington	Nebraska (1-0)	Nebraska (2-0)	Georgia (1-0)	Oregon (3-0)	Oregon (4-0)	Notre Dame (4-0)	Florida State (5-1)	Iowa State (6-1)	Washington State (6-1)	Iowa (8-1)	Notre Dame (8-1)	Notre Dame (9-1)	Alabama (9-2)	Washington State (9-2)	Texas (10-2)	Texas (10-2)	Michigan (10-3)
Nebraska	Ohio State (1-0)	Georgia (1-0)	Washington State (2-0)	Florida (2-1)	Notre Dame (4-0)	Tennessee (3-1)	Tennessee (4-1)	Washington State (6-1)	LSU (6-1)	NC State (9-0)	USC (6-2)	Alabama (8-2)	Kansas State (9-2)	Texas (9-2)	Penn State (9-3)	Penn State (9-3)	Washington State (10-3)
