Date	Visitor	Score	Home	Record
October 4	St. Louis Blues	3–3	Columbus Blue Jackets	0–0–1–0
October 6	Columbus Blue Jackets	3–3	Philadelphia Flyers	0–0–2–0
October 8	Philadelphia Flyers	2–2	Columbus Blue Jackets	0–0–3–0
October 12	Montreal Canadiens	3–1	Columbus Blue Jackets	0–1–3–0
October 14	Columbus Blue Jackets	2–2	Chicago Blackhawks	0–1–4–0
October 16	Columbus Blue Jackets	3–4	Detroit Red Wings	0–2–4–0
October 19	Columbus Blue Jackets	3–1	Buffalo Sabres	1–2–4–0
October 20	Colorado Avalanche	5–0	Columbus Blue Jackets	1–3–4–0
October 23	Los Angeles Kings	7–1	Columbus Blue Jackets	1–4–4–0
October 25	Edmonton Oilers	5–2	Columbus Blue Jackets	1–5–4–0
October 27	Columbus Blue Jackets	0–2	San Jose Sharks	1–6–4–0
October 30	Columbus Blue Jackets	1–3	Vancouver Canucks	1–7–4–0
November 1	Columbus Blue Jackets	1–2	Calgary Flames	1–8–4–0
November 2	Columbus Blue Jackets	2–1	Edmonton Oilers	2–8–4–0
November 6	Vancouver Canucks	3–2	Columbus Blue Jackets	2–9–4–0
November 9	Edmonton Oilers	3–0	Columbus Blue Jackets	2–10–4–0
November 10	Columbus Blue Jackets	5–1	Boston Bruins	3–10–4–0
November 13	St. Louis Blues	2–3	Columbus Blue Jackets	4–10–4–0
November 16	Mighty Ducks of Anaheim	2–3	Columbus Blue Jackets	5–10–4–0
November 17	Columbus Blue Jackets	2–3	Nashville Predators	5–11–4–0
November 19	Columbus Blue Jackets	2–5	Carolina Hurricanes	5–12–4–0
November 21	Detroit Red Wings	1–0	Columbus Blue Jackets	5–12–4–1
November 23	Chicago Blackhawks	2–2	Columbus Blue Jackets	5–12–5–1
November 25	Calgary Flames	3–4	Columbus Blue Jackets	6–12–5–1
November 27	Phoenix Coyotes	0–3	Columbus Blue Jackets	7–12–5–1
November 29	St. Louis Blues	3–1	Columbus Blue Jackets	7–13–5–1
December 1	Columbus Blue Jackets	3–4	St. Louis Blues	7–14–5–1
December 5	Columbus Blue Jackets	0–2	Florida Panthers	7–15–5–1
December 6	Columbus Blue Jackets	0–1	Tampa Bay Lightning	7–16–5–1
December 8	Colorado Avalanche	2–0	Columbus Blue Jackets	7–17–5–1
December 10	New Jersey Devils	1–3	Columbus Blue Jackets	8–17–5–1
December 12	Columbus Blue Jackets	1–5	Colorado Avalanche	8–18–5–1
December 14	Columbus Blue Jackets	3–2	Mighty Ducks of Anaheim	9–18–5–1
December 15	Columbus Blue Jackets	2–3	Los Angeles Kings	9–19–5–1
December 17	Columbus Blue Jackets	1–4	Phoenix Coyotes	9–20–5–1
December 22	Dallas Stars	4–2	Columbus Blue Jackets	9–21–5–1
December 27	Columbus Blue Jackets	1–5	Detroit Red Wings	9–22–5–1
December 29	Buffalo Sabres	2–2	Columbus Blue Jackets	9–22–6–1
December 31	Mighty Ducks of Anaheim	1–3	Columbus Blue Jackets	10–22–6–1
January 3	Columbus Blue Jackets	2–4	St. Louis Blues	10–23–6–1
January 6	Nashville Predators	3–4	Columbus Blue Jackets	11–23–6–1
January 9	Columbus Blue Jackets	3–6	Washington Capitals	11–24–6–1
January 10	Columbus Blue Jackets	1–2	Chicago Blackhawks	11–25–6–1
January 12	Chicago Blackhawks	4–5	Columbus Blue Jackets	12–25–6–1
January 14	Columbus Blue Jackets	2–2	New York Rangers	12–25–7–1
January 16	New York Rangers	0–2	Columbus Blue Jackets	13–25–7–1
January 18	Minnesota Wild	3–1	Columbus Blue Jackets	13–26–7–1
January 19	Columbus Blue Jackets	1–2	Nashville Predators	13–27–7–1
January 21	Dallas Stars	5–3	Columbus Blue Jackets	13–28–7–1
January 24	San Jose Sharks	2–6	Columbus Blue Jackets	14–28–7–1
January 26	Phoenix Coyotes	3–2	Columbus Blue Jackets	14–29–7–1
January 28	Columbus Blue Jackets	2–4	Dallas Stars	14–30–7–1
January 30	Columbus Blue Jackets	1–3	Mighty Ducks of Anaheim	14–31–7–1
February 4	Boston Bruins	8–0	Columbus Blue Jackets	14–32–7–1
February 6	Ottawa Senators	6–4	Columbus Blue Jackets	14–33–7–1
February 8	Columbus Blue Jackets	3–2	Detroit Red Wings	15–33–7–1
February 9	Nashville Predators	1–0	Columbus Blue Jackets	15–33–7–2
February 12	Minnesota Wild	3–3	Columbus Blue Jackets	15–33–8–2
February 26	Los Angeles Kings	5–1	Columbus Blue Jackets	15–34–8–2
February 28	Pittsburgh Penguins	4–3	Columbus Blue Jackets	15–34–8–3
March 2	Columbus Blue Jackets	2–0	Los Angeles Kings	16–34–8–3
March 3	Columbus Blue Jackets	1–2	Phoenix Coyotes	16–35–8–3
March 6	Columbus Blue Jackets	1–4	Colorado Avalanche	16–36–8–3
March 8	New York Islanders	2–4	Columbus Blue Jackets	17–36–8–3
March 10	Columbus Blue Jackets	0–5	Minnesota Wild	17–37–8–3
March 11	Columbus Blue Jackets	4–2	Pittsburgh Penguins	18–37–8–3
March 14	Vancouver Canucks	5–1	Columbus Blue Jackets	18–38–8–3
March 16	Calgary Flames	1–3	Columbus Blue Jackets	19–38–8–3
March 20	Columbus Blue Jackets	3–1	Minnesota Wild	20–38–8–3
March 21	Detroit Red Wings	3–2	Columbus Blue Jackets	20–38–8–4
