Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	16–4–1	Charles Oliveira	Decision (unanimous)	UFC 162	3	5:00	Las Vegas, Nevada , United States
Loss	15–4–1	José Aldo	Decision (unanimous)	UFC 156	5	5:00	Las Vegas, Nevada , United States
Loss	15–3–1	Benson Henderson	Decision (split)	UFC 150	5	5:00	Denver, Colorado , United States
Loss	15–2–1	Benson Henderson	Decision (unanimous)	UFC 144	5	5:00	Saitama , Japan
Win	15–1–1	Gray Maynard	KO (punches)	UFC 136	4	3:54	Houston, Texas , United States
Draw	14–1–1	Gray Maynard	Draw (split)	UFC 125	5	5:00	Las Vegas, Nevada , United States
Win	14–1	B.J. Penn	Decision (unanimous)	UFC 118	5	5:00	Boston, Massachusetts , United States
Win	13–1	B.J. Penn	Decision (unanimous)	UFC 112	5	5:00	Abu Dhabi , United Arab Emirates
Win	12–1	Matt Veach	Submission (rear-naked choke)	The Ultimate Fighter 10 Finale	2	2:22	Las Vegas, Nevada , United States
Win	11–1	Sean Sherk	Decision (unanimous)	UFC 98	3	5:00	Las Vegas, Nevada , United States
Win	10–1	Hermes França	Decision (unanimous)	UFC: Silva vs. Irvin	3	5:00	Las Vegas, Nevada , United States
Loss	9–1	Gray Maynard	Decision (unanimous)	UFC Fight Night: Florian vs. Lauzon	3	5:00	Broomfield, Colorado , United States
Win	9–0	Spencer Fisher	Decision (unanimous)	UFC 78	3	5:00	Newark, New Jersey , United States
Win	8–0	Mark Bocek	TKO (punches)	UFC 73	1	4:55	Sacramento, California , United States
Win	7–0	Tyson Griffin	Decision (unanimous)	UFC 67	3	5:00	Las Vegas, Nevada , United States
Win	6–0	Jim Miller	Decision (unanimous)	Reality Fighting 14	3	5:00	Atlantic City, New Jersey , United States
Win	5–0	Deividas Taurosevičius	Decision (unanimous)	RF 13: Battle at the Beach	3	5:00	Wildwood, New Jersey , United States
Win	4–0	Steve McCabe	Submission (guillotine choke)	Ring of Combat 10	1	2:37	Atlantic City, New Jersey , United States
Win	3–0	Jay Isip	Technical submission (rear-naked choke)	SportFighting 2	1	3:26	Hoboken, New Jersey , United States
Win	2–0	Mark Getto	TKO (punches)	Ring of Combat 9	1	4:21	Asbury Park, New Jersey , United States
Win	1–0	Eric Uresk	TKO (punches)	UCL: Underground Combat League	1	3:38	The Bronx, New York , United States
