Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
48	February 4	@ Minnesota	W 94–86 (OT)	Mike Bibby (24)	Marvin Williams (10)	Mike Bibby (7)	Target Center 13,745	28–20
49	February 6	@ Charlotte	W 102–97 (OT)	Marvin Williams (29)	Zaza Pachulia (8)	Mike Bibby , Al Horford (4)	Time Warner Cable Arena 15,140	29–20
50	February 7	L.A. Clippers	L 97–121 (OT)	Joe Johnson , Marvin Williams (17)	Josh Smith (15)	Acie Law (6)	Philips Arena 18,729	29–21
51	February 10	Washington	W 111–90 (OT)	Joe Johnson (22)	Zaza Pachulia (12)	Joe Johnson (8)	Philips Arena 17,027	30–21
52	February 11	@ Detroit	W 99–95 (OT)	Joe Johnson (27)	Marvin Williams (8)	Josh Smith (7)	The Palace of Auburn Hills 20,124	31–21
53	February 17	@ L.A. Lakers	L 83–96 (OT)	Joe Johnson (14)	Zaza Pachulia (12)	Joe Johnson (5)	Staples Center 18,997	31–22
54	February 18	@ Sacramento	W 105–100 (OT)	Mike Bibby (29)	Al Horford (18)	Joe Johnson (6)	ARCO Arena 11,213	32–22
55	February 20	@ Portland	L 98–108 (OT)	Mike Bibby (27)	Joe Johnson (8)	Joe Johnson (7)	Rose Garden 20,250	32–23
56	February 23	@ Utah	L 89–108 (OT)	Joe Johnson (15)	Al Horford , Zaza Pachulia , Marvin Williams (6)	Ronald Murray , Al Horford (5)	EnergySolutions Arena 19,911	32–24
57	February 25	@ Denver	L 109–110 (OT)	Marvin Williams (31)	Al Horford (11)	Joe Johnson (8)	Pepsi Center 18,418	32–25
