Date	Show	Venue	City	Tickets sold / available	Gross revenue
October 15–16, 2001	U2	United Center	Chicago	39,368 / 39,368 (100%)	$3,206,600
October 24, 2001	U2	Madison Square Garden	New York	18,385 / 18,385 (100%)	$1,568,790
November 30, 2001	U2	Phillips Arena	Atlanta	18,535 / 18,535 (100%)	$1,504,925
December 1, 2001	U2	Ice Palace	Tampa	16,494 / 16,494 (100%)	$1,339,865
December 2, 2001	U2	American Airlines Arena	Miami	16,197 / 16,197 (100%)	$1,350,595
June 6, 2002	Garbage	Auditorio National	Mexico City	9,630 / 9,630 (100%)	$252,678
October 20, 2002	No Doubt/Garbage	Centrum Center	Worcester	10,899 / 13,000 (84%)	$368,380
October 21, 2002	No Doubt/Garbage	Nassau Coliseum	Uniondale	8,910 / 14,183 (64%)	$292,950
October 23, 2002	No Doubt/Garbage	Continental Airlines Arena	East Rutherford	10,562 / 13,362 (79%)	$335,901
November 13, 2002	No Doubt/Garbage	ARCO Arena	Sacramento	9,759 / 11,420 (85%)	$292,865
November 14, 2002	No Doubt/Garbage	HP Pavilion	San Jose	13,618 / 14,502 (94%)	$460,682
November 16, 2002	No Doubt/Garbage	Cricket Pavilion	Phoenix	13,048 / 20,058 (65%)	$335,460
November 26, 2002	No Doubt/Garbage	Cox Arena	San Diego	8,476 / 9,632 (88%)	$296,660
November 22–23, 29, 2002	No Doubt/Garbage	Long Beach Arena	Long Beach	39,219 / 39,219 (100%)	$1,372,665
