Year	Class	Team name	Bike	Riders	Races	Wins	Podiums	Poles	F.laps	Points	Pos.
2009	MotoGP	Hayate Racing Team	Kawasaki ZX-RR	Marco Melandri	17	0	1	0	0	108	10th
2010	Moto2	Forward Racing	Suter MMX	Jules Cluzel	17	1	2	0	1	106	7th
2010	Moto2	Forward Racing	Suter MMX	Claudio Corti	17	0	0	1	0	20	25th
2010	Moto2	Forward Racing	Suter MMX	Ferruccio Lamborghini [a ]	1 (5)	0	0	0	0	0	NC
2011	Moto2	NGM Forward Racing	Suter MMXI	Jules Cluzel	17	0	0	0	0	41	21st
2011	Moto2	NGM Forward Racing	Suter MMXI	Alex Baldolini [b ]	10 (14)	0	0	0	0	18	27th
2011	Moto2	NGM Forward Racing	Suter MMXI	Raffaele de Rosa [b ]	7 (13)	0	0	0	0	0	NC
2012	MotoGP	NGM Mobile Forward Racing	Suter MMX1	Colin Edwards	17	0	0	0	0	27	20th
2012	MotoGP	NGM Mobile Forward Racing	Suter MMX1	Chris Vermeulen [c ]	1	0	0	0	0	0	NC
2012	Moto2	NGM Mobile Forward Racing	Suter MMXII FTR Moto M212	Alex de Angelis	16	1	2	0	1	86	10th
2012	Moto2	NGM Mobile Forward Racing	Suter MMXII FTR Moto M212	Yuki Takahashi	17	0	0	0	0	2	30th
2012	Moto2	NGM Mobile Forward Racing	Suter MMXII FTR Moto M212	Mattia Pasini [d ]	1	0	0	0	0	0	NC
2013	MotoGP	NGM Mobile Forward Racing	FTR-Kawasaki	Colin Edwards	13	0	0	0	0	31	14th
2013	MotoGP	NGM Mobile Forward Racing	FTR-Kawasaki	Claudio Corti	13	0	0	0	0	7	19th
2013	Moto2	NGM Mobile Racing	Speed Up SF13	Simone Corsi	12	0	1	0	0	74	10th
2013	Moto2	NGM Mobile Racing	Speed Up SF13	Mattia Pasini	12	0	0	0	0	35	16th
2013	Moto2	NGM Mobile Forward Racing	Speed Up SF13	Alex de Angelis	12	0	0	0	0	46	14th
