Driver	Constructor	Laps	Time/Retired	Grid
Stirling Moss	Vanwall	18	2:59:22.7	2
Juan Manuel Fangio	Maserati	18	+3:13.9	1
Harry Schell	Maserati	18	+6:46.8	5
Masten Gregory	Maserati	18	+8:16.5	7
Stuart Lewis-Evans	Vanwall	17	+1 lap	8
Giorgio Scarlatti	Maserati	17	+1 lap	10
Jack Brabham	Cooper - Climax	15	+3 laps	16
Luigi Musso	Ferrari	9	Oil leak	3
Paco Godia	Maserati	9	Engine	12
Bruce Halford	Maserati	9	Transmission	14
Jo Bonnier	Maserati	7	Overheating	9
Jean Behra	Maserati	3	Oil leak	4
Roy Salvadori	Cooper - Climax	3	Accident	15
Tony Brooks	Vanwall	1	Engine	6
Horace Gould	Maserati	0	Accident	11
Luigi Piotti	Maserati	0	Engine	13
