Outcome	Year	Tournament	Surface	Partner	Opponents	Score
Runner-up	2002	Moscow	Carpet (i)	Jelena Dokić	Elena Dementieva Janette Husárová	6–2, 3–6, 6–7 (7-9)
Runner-up	2002	Zürich	Hard (i)	Jelena Dokić	Elena Bovina Justine Henin	2–6, 6–7 (2-7)
Runner-up	2003	Rome	Clay	Jelena Dokić	Svetlana Kuznetsova Martina Navratilova	4–6, 7–5, 2–6
Winner	2003	Moscow	Carpet	Meghann Shaughnessy	Anastasia Myskina Vera Zvonareva	6–3, 6–4
Winner	2004	Key Biscayne	Hard	Meghann Shaughnessy	Svetlana Kuznetsova Elena Likhovtseva	6-2, 6-3
Winner	2004	Berlin	Clay	Meghann Shaughnessy	Janette Husárová Conchita Martínez	6–2, 2–6, 6–1
Winner	2004	Rome	Clay	Meghann Shaughnessy	Virginia Ruano Pascual Paola Suárez	2–6, 6–3, 6–3
Runner-up	2005	Indian Wells	Hard	Meghann Shaughnessy	Virginia Ruano Pascual Paola Suárez	6–7 (3-7), 1–6
Winner	2006	Montreal	Hard	Martina Navratilova	Cara Black Anna-Lena Grönefeld	6-1, 6-2
Winner	2008	Tokyo	Hard	Vania King	Lisa Raymond Samantha Stosur	6–1, 6–4
Winner	2008	Moscow	Carpet	Katarina Srebotnik	Cara Black Liezel Huber	6–4, 6–4
Runner-up	2010	Indian Wells	Hard	Samantha Stosur	Květa Peschke Katarina Srebotnik	6–4, 2–6, [5–10]
Runner-up	2010	Miami	Hard	Samantha Stosur	Gisela Dulko Flavia Pennetta	3–6, 6–4, [7–10]
Runner-up	2011	Miami	Hard	Liezel Huber	Daniela Hantuchová Agnieszka Radwańska	6–7 (5-7) , 6–2, [8–10]
Winner	2012	Miami	Hard	Maria Kirilenko	Sara Errani Roberta Vinci	7–6 (7–0) , 4–6, [10–4]
Runner-up	2012	Montreal	Hard	Katarina Srebotnik	Klaudia Jans-Ignacik Kristina Mladenovic	5–7, 6–2, [7–10]
Runner-up	2013	Doha	Hard	Katarina Srebotnik	Sara Errani Roberta Vinci	6-2, 3-6, [6-10]
Runner-up	2013	Indian Wells	Hard	Katarina Srebotnik	Ekaterina Makarova Elena Vesnina	0-6, 7-5, [6-10]
