Round	Overall	Player	Position	School/Club Team
1	17	Robert L. Jackson	Linebacker	Texas A&M
2	46	Tom Skladany	Punter	Ohio State
4	102	Oliver Davis	Defensive Back	Tennessee State
4	110	Mickey Sims	Defensive Tackle	South Carolina State
7	173	Kenny Randle	Wide Receiver	SMU
7	184	Blane Smith	Linebacker	Purdue
7	188	Bob Lingenfelter	Offensive Tackle	Nebraska
8	213	Bill Armstrong	Defensive Back	Wake Forest
9	240	Daryl Brown	Defensive Back	Tufts
10	269	Tom Burkett	Offensive Tackle	North Carolina
11	296	Charles Nash	Wide Receiver	Arizona
12	325	Leo Tierney	Center	Georgia Tech
