Townland	Area( acres )	Barony	Civil parish	Poor law union
Adrivale	460	Muskerry West	Drishane	Millstreet
Aghacunna	406	Muskerry West	Kilnamartery	Macroom
Annahala East	266	Muskerry West	Macloneigh	Macroom
Annahala West	393	Muskerry West	Macloneigh	Macroom
Annahalabog	259	Muskerry West	Macloneigh	Macroom
Ardaneneen	614	Muskerry West	Kilmichael	Dunmanway
Ardeen	360	Muskerry West	Clondrohid	Macroom
Ardnacrushy	405	Muskerry West	Clondrohid	Macroom
Ardrah	131	Muskerry West	Kilmurry	Macroom
Augeris	793	Muskerry West	Inchigeelagh	Macroom
Ballina	72	Muskerry West	Kilmichael	Dunmanway
Ballinkeen	242	Muskerry West	Drishane	Millstreet
Ballydaly	1089	Muskerry West	Drishane	Millstreet
Ballymacorcoran	226	Muskerry West	Clondrohid	Macroom
Ballymakeery	463	Muskerry West	Ballyvourney	Macroom
Ballymichael	530	Muskerry West	Kilmurry	Macroom
Ballynagree East	1320	Muskerry West	Macroom	Macroom
Ballynagree West	1345	Muskerry West	Macroom	Macroom
Ballynatona	278	Muskerry West	Drishane	Millstreet
Ballytrasna	514	Muskerry West	Kilmurry	Macroom
Ballyveerane	444	Muskerry West	Macroom	Macroom
Ballyvogue	587	Muskerry West	Kilnamartery	Macroom
Ballyvouskill	495	Muskerry West	Drishane	Millstreet
Bardinch	391	Muskerry West	Ballyvourney	Macroom
Bargarriff	344	Muskerry West	Inchigeelagh	Dunmanway
Barnadivane (Kneeves)	237	Muskerry West	Kilmichael	Dunmanway
Barnadivane	215	Muskerry West	Kilmichael	Dunmanway
Baulbrack	317	Muskerry West	Kilmichael	Dunmanway
Baunreagh	76	Muskerry West	Kilcorney	Millstreet
Bawnatanaknock	382	Muskerry West	Clondrohid	Macroom
Bawnmore	515	Muskerry West	Clondrohid	Macroom
Bealick	361	Muskerry West	Macroom	Macroom
Beenreagh	255	Muskerry West	Kilcorney	Millstreet
Brehaun	211	Muskerry West	Kilnamartery	Macroom
Brookpark	750	Muskerry West	Kilcorney	Millstreet
Cabragh	398	Muskerry West	Clondrohid	Macroom
Cackanode	221	Muskerry West	Clondrohid	Macroom
Caherbarnagh	3626	Muskerry West	Drishane	Millstreet
Caherbirrane	717	Muskerry West	Clondrohid	Macroom
Cahercarney	88	Muskerry West	Ballyvourney	Macroom
Caherdaha	208	Muskerry West	Kilnamartery	Macroom
Caherdowney	1173	Muskerry West	Drishane	Millstreet
Caherkeegane	397	Muskerry West	Clondrohid	Macroom
Caherkereen	386	Muskerry West	Kilnamartery	Macroom
Cahernacaha	733	Muskerry West	Inchigeelagh	Macroom
Candroma	456	Muskerry West	Clondrohid	Macroom
Cappagh East	541	Muskerry West	Ballyvourney	Macroom
Cappagh West	312	Muskerry West	Ballyvourney	Macroom
Cappanaminna	99	Muskerry West	Inchigeelagh	Macroom
Cappanclare	181	Muskerry West	Inchigeelagh	Dunmanway
Carrig	119	Muskerry West	Inchigeelagh	Macroom
Carrigacooleen	599	Muskerry West	Drishane	Millstreet
Carrigagulla	2292	Muskerry West	Macroom	Macroom
Carriganimmy	1227	Muskerry West	Clondrohid	Macroom
Carriganine	120	Muskerry West	Macroom	Macroom
Carrigaphooca	205	Muskerry West	Clondrohid	Macroom
Carrigbaun	342	Muskerry West	Inchigeelagh	Macroom
Carrigboy	989	Muskerry West	Kilmichael	Dunmanway
Carrigdangan	618	Muskerry West	Kilmichael	Dunmanway
Carrigdarrery	204	Muskerry West	Kilmurry	Macroom
Carrigduff	1305	Muskerry West	Kilcorney	Millstreet
Carrigleigh	246	Muskerry West	Inchigeelagh	Macroom
Carrigleigh	97	Muskerry West	Drishane	Millstreet
Carrignacurra	446	Muskerry West	Inchigeelagh	Dunmanway
Carrignadoura	422	Muskerry West	Inchigeelagh	Macroom
Carrignamaddry	285	Muskerry West	Clondrohid	Macroom
Carrignamuck	302	Muskerry West	Inchigeelagh	Dunmanway
Carrignaneelagh	154	Muskerry West	Inchigeelagh	Macroom
Carrigonirtane	334	Muskerry West	Clondrohid	Macroom
Claragh Beg	328	Muskerry West	Drishane	Millstreet
Clashbredane	807	Muskerry West	Kilmichael	Dunmanway
Clashmaguire	474	Muskerry West	Clondrohid	Macroom
Cleanrath North	564	Muskerry West	Inchigeelagh	Macroom
Cleanrath South	878	Muskerry West	Inchigeelagh	Macroom
Clearagh	461	Muskerry West	Kilmurry	Macroom
Clodah	469	Muskerry West	Kilmurry	Macroom
Cloghboola	743	Muskerry West	Inchigeelagh	Dunmanway
Cloghboola Beg	1213	Muskerry West	Drishane	Millstreet
Cloghboola More	524	Muskerry West	Drishane	Millstreet
Cloghmacow	499	Muskerry West	Kilmurry	Macroom
Cloheena	648	Muskerry West	Kilnamartery	Macroom
Clonclud	263	Muskerry West	Kilnamartery	Macroom
Clonfadda	242	Muskerry West	Clondrohid	Macroom
Clonmoyle	461	Muskerry West	Kilmichael	Dunmanway
Cloonshear	448	Muskerry West	Inchigeelagh	Macroom
Cloonshear Beg	182	Muskerry West	Inchigeelagh	Macroom
Cloontycarthy	541	Muskerry West	Kilnamartery	Macroom
Codrum	454	Muskerry West	Macroom	Macroom
Commons	114	Muskerry West	Kilmichael	Dunmanway
Coolacleevane	615	Muskerry West	Kilmichael	Dunmanway
Coolacoosane	242	Muskerry West	Clondrohid	Macroom
Coolacresig	159	Muskerry West	Clondrohid	Macroom
Coolanarney	398	Muskerry West	Drishane	Millstreet
Coolaniddane	625	Muskerry West	Clondrohid	Macroom
Coolavoher	165	Muskerry West	Ballyvourney	Macroom
Coolavokig	923	Muskerry West	Ballyvourney	Macroom
Coolcaum	282	Muskerry West	Kilnamartery	Macroom
Coolcour	416	Muskerry West	Macroom	Macroom
Cooldaniel	803	Muskerry West	Kilmichael	Dunmanway
Cooldorragha	943	Muskerry West	Kilmichael	Dunmanway
Coolduff	674	Muskerry West	Kilmurry	Macroom
Coole	277	Muskerry West	Drishane	Millstreet
Coolea	584	Muskerry West	Ballyvourney	Macroom
Cooleen	351	Muskerry West	Inchigeelagh	Macroom
Cooleenaree	183	Muskerry West	Drishane	Millstreet
Coolierher	238	Muskerry West	Ballyvourney	Macroom
Coolnacaheragh	308	Muskerry West	Ballyvourney	Macroom
Coolnacrannagh	121	Muskerry West	Inchigeelagh	Macroom
Coolnagillagh Lower	202	Muskerry West	Drishane	Millstreet
Coolnagillagh Upper	335	Muskerry West	Drishane	Millstreet
Coolroe East	287	Muskerry West	Inchigeelagh	Dunmanway
Coolroe West	104	Muskerry West	Inchigeelagh	Dunmanway
Cools	126	Muskerry West	Kilnamartery	Macroom
Coolyhane	288	Muskerry West	Macroom	Macroom
Coomacheo	2157	Muskerry West	Drishane	Millstreet
Coomdorragha	109	Muskerry West	Inchigeelagh	Macroom
Coomlibane	556	Muskerry West	Inchigeelagh	Macroom
Coomlmaclohy	1403	Muskerry West	Ballyvourney	Macroom
Coomlogane	615	Muskerry West	Drishane	Millstreet
Coomnagire	856	Muskerry West	Ballyvourney	Macroom
Coomroe	953	Muskerry West	Inchigeelagh	Macroom
Cooragreenane	572	Muskerry West	Inchigeelagh	Dunmanway
Coornahahilly	594	Muskerry West	Inchigeelagh	Dunmanway
Coorolagh	201	Muskerry West	Inchigeelagh	Dunmanway
Cornery	357	Muskerry West	Inchigeelagh	Dunmanway
Coumaclovane	882	Muskerry West	Ballyvourney	Macroom
Crinaloo North	535	Muskerry West	Kilcorney	Millstreet
Crinaloo South	1203	Muskerry West	Kilcorney	Millstreet
Crossmahan	209	Muskerry West	Kilmurry	Macroom
Curra	163	Muskerry West	Clondrohid	Macroom
Currabeha	648	Muskerry West	Kilmurry	Macroom
Curracahill	691	Muskerry West	Drishane	Millstreet
Curraclogh	905	Muskerry West	Kilmurry	Macroom
Curragh	273	Muskerry West	Kilmurry	Macroom
Curragh	996	Muskerry West	Drishane	Millstreet
Curraheen	255	Muskerry West	Inchigeelagh	Dunmanway
Curraheen	71	Muskerry West	Kilnamartery	Macroom
Currahy	1076	Muskerry West	Inchigeelagh	Macroom
Curraleigh	559	Muskerry West	Clondrohid	Macroom
Cusduff	264	Muskerry West	Kilmichael	Dunmanway
Cusloura	1443	Muskerry West	Macroom	Macroom
Dangansallagh	708	Muskerry West	Ballyvourney	Macroom
Derragh	439	Muskerry West	Kilnamartery	Macroom
Derree	360	Muskerry West	Ballyvourney	Macroom
Derreen	111	Muskerry West	Drishane	Millstreet
Derreen	355	Muskerry West	Inchigeelagh	Macroom
Derreenabourky	280	Muskerry West	Inchigeelagh	Macroom
Derreenacullig	467	Muskerry West	Ballyvourney	Macroom
Derreenaling	1670	Muskerry West	Ballyvourney	Macroom
Derreenclodig	204	Muskerry West	Inchigeelagh	Macroom
Derreendonee	438	Muskerry West	Inchigeelagh	Dunmanway
Derreenglass	454	Muskerry West	Inchigeelagh	Dunmanway
Derreenlunnig	542	Muskerry West	Inchigeelagh	Macroom
Derreennacartan	102	Muskerry West	Kilnamartery	Macroom
Derreennacusha	327	Muskerry West	Inchigeelagh	Dunmanway
Derrineanig	743	Muskerry West	Inchigeelagh	Macroom
Derrintogher	187	Muskerry West	Kilnamartery	Macroom
Derryfineen	480	Muskerry West	Kilnamartery	Macroom
Derrygortnacloghy	173	Muskerry West	Inchigeelagh	Dunmanway
Derrylahan	645	Muskerry West	Ballyvourney	Macroom
Derryleigh	400	Muskerry West	Inchigeelagh	Dunmanway
Derryleigh	465	Muskerry West	Clondrohid	Macroom
Derrynagree	320	Muskerry West	Inchigeelagh	Dunmanway
Derrynasaggart	1812	Muskerry West	Ballyvourney	Macroom
Derryriordane North	205	Muskerry West	Inchigeelagh	Dunmanway
Derryriordane South	332	Muskerry West	Inchigeelagh	Dunmanway
Derryvacorneen	439	Muskerry West	Inchigeelagh	Dunmanway
Derryvaleen	198	Muskerry West	Inchigeelagh	Macroom
Derryvane	353	Muskerry West	Inchigeelagh	Macroom
Deshure	715	Muskerry West	Kilmichael	Dunmanway
Donoure East	173	Muskerry West	Kilcorney	Millstreet
Donoure Middle	111	Muskerry West	Kilcorney	Millstreet
Donoure West	174	Muskerry West	Kilcorney	Millstreet
Dooneens	594	Muskerry West	Drishane	Millstreet
Dooneens	751	Muskerry West	Inchigeelagh	Dunmanway
Drishane Beg	383	Muskerry West	Drishane	Millstreet
Drishane More	278	Muskerry West	Drishane	Millstreet
Dromagarry	221	Muskerry West	Clondrohid	Macroom
Dromanallig	328	Muskerry West	Inchigeelagh	Macroom
Drombeg	58	Muskerry West	Kilcorney	Millstreet
Dromcarra North	230	Muskerry West	Inchigeelagh	Macroom
Dromcarra South	276	Muskerry West	Inchigeelagh	Macroom
Dromduff	392	Muskerry West	Macroom	Macroom
Drominahilla	139	Muskerry West	Drishane	Millstreet
Dromkeen	344	Muskerry West	Kilmichael	Dunmanway
Dromleigh	87	Muskerry West	Kilmichael	Dunmanway
Dromonig	303	Muskerry West	Clondrohid	Macroom
Dromreague	434	Muskerry West	Kilnamartery	Macroom
Dromree	348	Muskerry West	Clondrohid	Macroom
Dundareirke	310	Muskerry West	Kilnamartery	Macroom
Dunisky	1186	Muskerry West	Dunisky	Macroom
Dunmarklun	476	Muskerry West	Kilmurry	Macroom
Englishgarden	33	Muskerry West	Clondrohid	Macroom
Farranavarrigane	171	Muskerry West	Macloneigh	Macroom
Ferm	106	Muskerry West	Drishane	Millstreet
Finnanfield	361	Muskerry West	Kilcorney	Millstreet
Flats	141	Muskerry West	Ballyvourney	Macroom
Fuhiry	1034	Muskerry West	Ballyvourney	Macroom
Garraneduff	335	Muskerry West	Drishane	Millstreet
Garranenagappul	592	Muskerry West	Clondrohid	Macroom
Garranereagh	1135	Muskerry West	Kilmichael	Macroom
Garraneycarney	1182	Muskerry West	Clondrohid	Macroom
Garryantornora	264	Muskerry West	Inchigeelagh	Dunmanway
Garrynapeaka	188	Muskerry West	Inchigeelagh	Dunmanway
Gearagh East	68	Muskerry West	Macloneigh	Macroom
Gearagh West	37	Muskerry West	Macloneigh	Macroom
Geararoe	76	Muskerry West	Drishane	Millstreet
Glananarig	393	Muskerry West	Clondrohid	Macroom
Glannarouge East	102	Muskerry West	Kilmurry	Macroom
Glannarouge West	158	Muskerry West	Kilmurry	Macroom
Glantane East	651	Muskerry West	Clondrohid	Macroom
Glantane West	601	Muskerry West	Clondrohid	Macroom
Glasheen	130	Muskerry West	Inchigeelagh	Macroom
Glebe	13	Muskerry West	Kilcorney	Millstreet
Glebe	249	Muskerry West	Inchigeelagh	Macroom
Glebe	40	Muskerry West	Kilnamartery	Macroom
Glebe	63	Muskerry West	Ballyvourney	Macroom
Glebe	76	Muskerry West	Clondrohid	Macroom
Glendav	1387	Muskerry West	Clondrohid	Macroom
Glenleigh	638	Muskerry West	Kilcorney	Millstreet
Gneeves	467	Muskerry West	Drishane	Millstreet
Gortacurrig	150	Muskerry West	Kilmichael	Dunmanway
Gortafludig	644	Muskerry West	Inchigeelagh	Macroom
Gortaknockane	191	Muskerry West	Inchigeelagh	Dunmanway
Gortanacra	233	Muskerry West	Ballyvourney	Macroom
Gortanddan	192	Muskerry West	Kilnamartery	Macroom
Gortaneadin	308	Muskerry West	Inchigeelagh	Dunmanway
Gortanimill	593	Muskerry West	Kilnamartery	Macroom
Gortatanavally	218	Muskerry West	Inchigeelagh	Dunmanway
Gortaveer	436	Muskerry West	Inchigeelagh	Macroom
Gortavehy East	512	Muskerry West	Drishane	Millstreet
Gortavehy West	536	Muskerry West	Drishane	Millstreet
Gortavranner	289	Muskerry West	Clondrohid	Macroom
Gorteenadrolane	125	Muskerry West	Inchigeelagh	Dunmanway
Gorteennakilla	423	Muskerry West	Inchigeelagh	Macroom
Gortnabinna	780	Muskerry West	Kilnamartery	Macroom
Gortnacarriga	595	Muskerry West	Inchigeelagh	Dunmanway
Gortnaclogh	246	Muskerry West	Kilcorney	Millstreet
Gortnafunshion	103	Muskerry West	Ballyvourney	Macroom
Gortnagishagh	391	Muskerry West	Clondrohid	Macroom
Gortnagross	151	Muskerry West	Ballyvourney	Macroom
Gortnahoughtee	735	Muskerry West	Inchigeelagh	Dunmanway
Gortnalicky	319	Muskerry West	Clondrohid	Macroom
Gortnaloughra	224	Muskerry West	Inchigeelagh	Macroom
Gortnalour	487	Muskerry West	Inchigeelagh	Dunmanway
Gortnamona	136	Muskerry West	Inchigeelagh	Macroom
Gortnapeasty	190	Muskerry West	Clondrohid	Macroom
Gortnarea	282	Muskerry West	Inchigeelagh	Dunmanway
Gortnascarty	255	Muskerry West	Ballyvourney	Macroom
Gortnatubbrid	513	Muskerry West	Ballyvourney	Macroom
Gortsmoorane	186	Muskerry West	Inchigeelagh	Macroom
Gortyleahy	136	Muskerry West	Macroom	Macroom
Gortyrahilly	1054	Muskerry West	Ballyvourney	Macroom
Graigue	594	Muskerry West	Inchigeelagh	Macroom
Greenville	454	Muskerry West	Kilmichael	Macroom
Gurteenflugh	235	Muskerry West	Inchigeelagh	Macroom
Gurteenowen	142	Muskerry West	Inchigeelagh	Macroom
Gurteenroe	447	Muskerry West	Macroom	Macroom
Haremount	646	Muskerry West	Kilmichael	Dunmanway
Horsemount North	495	Muskerry West	Kilcorney	Millstreet
Horsemount South	315	Muskerry West	Kilcorney	Millstreet
Horsemountmountain	631	Muskerry West	Kilcorney	Millstreet
Illauninagh East	186	Muskerry West	Inchigeelagh	Dunmanway
Illauninagh West	456	Muskerry West	Inchigeelagh	Dunmanway
Inchamore	1635	Muskerry West	Ballyvourney	Macroom
Inches	400	Muskerry West	Drishane	Millstreet
Inchi Beg	447	Muskerry West	Inchigeelagh	Dunmanway
Inchi More	602	Muskerry West	Inchigeelagh	Dunmanway
Inchibrackane	93	Muskerry West	Kilnamartery	Macroom
Inchideraille	277	Muskerry West	Inchigeelagh	Dunmanway
