Name	Bodyweight	Snatch	Clean & Jerk	Total (kg)
Yoandry Hernández ( CUB )	92.55	172.0	221.0	393.0
Julio César Luña ( VEN )	93.00	170.0	210.0	380.0
Herman Torres ( COL )	89.90	166.0	210.0	376.0
Eduardo Guadamud ( ECU )	93.65	165.0	205.0	370.0
Jeff Wittmer ( USA )	93.05	158.0	197.0	355.0
Pablo Burla ( ARG )	93.55	152.0	180.0	332.0
Dallas Santavy ( CAN )	91.35	140.0	180.0	320.0
Juan Jiménez Jiménez ( DOM )	93.40	142.0	174.0	316.0
Julio Santiago ( BRA )	93.15	140.0	170.0	310.0
Fernando Reis ( BRA )	93.80	140.0	164.0	304.0
