Result	Opponent	Type	Round	Date
Win	Gabriel Rosado	TKO	10 (12)	2013-10-26
Win	Fernando Guerrero	TKO	7 (12)	2013-4-27
Win	Hassan N'Dam N'Jikam	UD	12	2012-10-20
Win	Winky Wright	UD	10	2012-06-02
Win	Craig McEwan	TKO	6 (10 )	2011-11-05
Win	Jason LeHoullier	TKO	5 (10)	2011-07-23
Win	Jesse Brinkley	TKO	3 (10)	2011-04-29
Win	Dennis Sharpe	TKO	4 (8)	2011-02-11
Win	Martin Desjardins	KO	1 (10)	2010-12-18
Win	Fernando Zuniga	UD	10	2010-02-06
Win	Sam Hill	TKO	10 (10)	2008-09-17
Win	Dionisio Miranda	UD	10	2008-06-11
Win	Antwun Echols	UD	10	2008-04-16
Win	Thomas Brown	KO	2 (6)	2008-02-23
Win	Troy Lowry	TKO	2 (8)	2007-12-13
Win	Jesse Orta	UD	6	2007-09-05
Win	Jose Humberto Corral	KO	1 (8)	2007-08-18
Win	Jamaal Davis	UD	8	2007-06-09
Win	Victor Paz	TKO	2 (6)	2007-05-18
Win	Alexander Pacheco Quiroz	TKO	1 (6)	2007-04-26
Win	Nathan Martin	TKO	2 (6)	2007-03-10
Win	Steve Walker	TKO	1 (6)	2007-02-22
Win	David Estrada	TKO	1 (6)	2006-11-03
Win	Brad Austin	TKO	2 (6)	2006-09-20
Win	William Prieto	KO	1 (4)	2006-07-26
Win	Eddie O'Neal	KO	1 (4)	2006-06-10
Win	Tomas Padron	UD	4	2006-04-20
Win	Willie Cruz	TKO	2 (4)	2006-03-16
Win	Antwuan Hedgemond	TKO	1 (4)	2005-08-04
Win	Anthony Hunter	TKO	1 (4)	2005-06-09
